%Latitude	Longitude	Altitude	Date	O18	H2	Air Temperature
-57.67888889	-64.22	1640	1979-01-01	-19.08	-148.08	-14.3
-57.67888889	-64.2	1600	1998-01-01	-19.35	-148.54	-14.3
-58.25722222	-64.21833333	1603	1979-01-01	-19.2	-148.9	-15
-58.61111111	-62.12833333	700	1998-01-01	-10.9	-82.9	-7.3
-58.62722222	-62.12972222	700	1996-01-01	-9.7	-72.2	-7.3
-62.12	-58.56	9	1991-01-01	-12.15	-88.6	-3.2
-62.2	-58.95	NaN	1991-01-01	-10.54	-77.6	NaN
-62.25	58.83333056	NaN	NaN	-9.5	NaN	-3.8
-64.08333056	59.58333056	1806	NaN	-17.13	NaN	-14.8
-65.08	-59.58	NaN	1990-01-01	-24.3	-188.7	-12.1
-65.17	-59.98	20	1990-01-01	-19.5	-154.6	-12.3
-65.25	-64.27	10	2000-01-01	-10.42	-81.7	-3.6
-65.28	-60.32	20	1990-01-01	-20.3	-157.9	-12.3
-65.45	-60.75	20	1990-01-01	-19	-148.8	-12.4
-65.58	-61.17	50	1990-01-01	-19.8	-156.5	-12.6
-65.7	-61.53	70	1990-01-01	-22.1	-172	-12.7
-65.83	-61.95	90	1990-01-01	-22.1	-171.5	-12.9
-65.85333333	113.18	140	1972-01-01	-16.94	NaN	-11
-65.93333056	113.15	379	NaN	-17.1	NaN	-11
-66.12861111	110.9361111	249	1982-01-01	-18.64	NaN	-12
-66.13055556	110.9380556	261	1982-01-01	-18.82	NaN	-12
-66.1325	110.9444444	274	1969-01-01	-16.62	NaN	NaN
-66.13333056	110.95	283	NaN	-16.7	NaN	-10.1
-66.15	111	360	NaN	-17.6	NaN	-12.4
-66.15166667	111.0011111	360	1974-01-01	-17.51	NaN	-12
-66.15166667	112.8069444	360	NaN	-17.08	-132.66	NaN
-66.23	111.2316667	610	1972-01-01	-18.95	NaN	-14
-66.23333056	111.2333306	620	NaN	-18.9	NaN	-14.3
-66.28333333	111.45	780	NaN	-19.7	NaN	-15.7
-66.30194444	111.4566667	773	1972-01-01	-20.18	NaN	-16
-66.33	-62.6	70	1990-01-01	-22.5	-177.9	-12.9
-66.38333056	111.7333306	930	NaN	-20.8	NaN	-19
-66.38333056	111.7261111	927	1977-01-01	-20.83	NaN	NaN
-66.41666667	64.95	1937	NaN	-10.08	NaN	-15.9
-66.53333333	93.01666667	10	NaN	-19	NaN	-12.4
-66.56240278	93.27406389	652	1985-01-01	-19.03	-145.89	-17.4
-66.66666667	140.0166667	NaN	1987-01-01	NaN	-146	-10
-66.66666667	140.0166667	40	NaN	-16.9	NaN	-11.2
-66.66666667	140.0166667	NaN	1977-01-01	-18.01	-138.18	-10.8
-66.68983889	139.9193556	40	1973-01-01	NaN	-153.3	-11.2
-66.7	139.9166667	220	NaN	-19.7	NaN	-14.5
-66.70658889	139.8531694	220	1973-01-01	NaN	-149.9	-14.5
-66.70672778	139.8488139	230	1973-01-01	NaN	-154.8	-15.6
-66.71173333	139.8308833	270	1973-01-01	NaN	-153.3	-14.3
-66.71666667	139.9166667	230	NaN	-20	NaN	-15.6
-66.72027778	112.8361111	1390	1977-01-01	-21.89	NaN	-22
-66.72194444	113.1994444	1276	1987-01-01	-20.37	NaN	NaN
-66.72388889	112.8069444	1270	1992-01-01	-20.49	-159	NaN
-66.72388889	113.2061111	1270	1992-01-01	-20.46	NaN	NaN
-66.72917222	112.8355333	1390	1969-01-01	-21.24	NaN	NaN
-66.73	112.83	1390	1984-01-01	-21.1	-167	-21.2
-66.73196111	139.7433222	405	1973-01-01	NaN	-153.8	-16.1
-66.73333056	139.6833333	405	NaN	-20.2	NaN	-16.1
-66.73333056	112.8333306	1390	NaN	-22.8	NaN	-21.3
-66.73908611	139.7143028	460	1973-01-01	-19.59	-145.5	-16.3
-66.74036944	139.7091889	470	1973-01-01	NaN	-148	-17.8
-66.75	139.5833333	470	NaN	-19.5	NaN	-17.8
-66.75	139.6666667	460	NaN	-20	NaN	-16.3
-66.76168889	139.6182972	615	1973-01-01	NaN	-148.5	-17.5
-66.76972222	112.8069444	1379	1987-01-01	-21.66	-170.22	NaN
-66.76972222	112.8069444	NaN	1987-01-01	-21.87	NaN	NaN
-66.77277778	112.4580556	NaN	1997-01-01	-23.32	NaN	NaN
-66.77361111	112.7594444	1361	1997-01-01	-21.8	NaN	NaN
-66.77416667	112.35725	1200	1997-01-01	-23.83	NaN	NaN
