%WMO Code	Latitude	Longitude	Altitude	Date	Begin of Period	End of Period	O18	H2	Precipitation	Air Temperature	Vapour Pressure
7129901	49.38	-82.12	245	1997-01-15	1997-01-01	1997-01-31	NaN	NaN	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-02-15	1997-02-01	1997-02-28	-19.37	-152.1	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-03-15	1997-03-01	1997-03-31	-18.53	-139	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-04-15	1997-04-01	1997-04-30	NaN	NaN	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-05-15	1997-05-01	1997-05-31	-14.44	-115	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-06-15	1997-06-01	1997-06-30	NaN	NaN	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-07-15	1997-07-01	1997-07-31	-7.29	-57.5	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-08-15	1997-08-01	1997-08-31	-11.71	-83.4	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-09-15	1997-09-01	1997-09-30	-8.16	-56.2	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-10-15	1997-10-01	1997-10-31	NaN	NaN	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-11-15	1997-11-01	1997-11-30	NaN	NaN	NaN	NaN	NaN
7129901	49.38	-82.12	245	1997-12-15	1997-12-01	1997-12-31	NaN	NaN	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-01-15	1998-01-01	1998-01-31	-20.74	-161.8	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-02-15	1998-02-01	1998-02-28	-18.72	-142.3	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-03-15	1998-03-01	1998-03-31	-14.11	-104.8	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-04-15	1998-04-01	1998-04-30	NaN	NaN	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-05-15	1998-05-01	1998-05-31	-6.58	-48	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-06-15	1998-06-01	1998-06-30	NaN	NaN	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-07-15	1998-07-01	1998-07-31	-12	-87.5	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-08-15	1998-08-01	1998-08-31	-7.65	-56.6	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-09-15	1998-09-01	1998-09-30	-11.75	-90.5	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-10-15	1998-10-01	1998-10-31	-6.51	-50	NaN	NaN	NaN
7129901	49.38	-82.12	245	1998-11-15	1998-11-01	1998-11-30	-16.01	-116.3	NaN	NaN	NaN
