%WMO Code	Latitude	Longitude	Altitude	Date	Begin of Period	End of Period	O18	H2	Precipitation	Air Temperature	Vapour Pressure
8905600	-62.12	-58.56	9	1990-01-15	1990-01-01	1990-01-31	NaN	NaN	61.5	2.4	6.3
8905600	-62.12	-58.56	9	1990-02-15	1990-02-01	1990-02-28	NaN	NaN	76.7	2.8	6.55
8905600	-62.12	-58.56	9	1990-03-15	1990-03-01	1990-03-31	NaN	NaN	109.5	1.1	5.67
8905600	-62.12	-58.56	9	1990-04-15	1990-04-01	1990-04-30	NaN	NaN	64.4	-4.4	3.44
8905600	-62.12	-58.56	9	1990-05-15	1990-05-01	1990-05-31	-13.7	-84	87	-4.5	3.75
8905600	-62.12	-58.56	9	1990-06-15	1990-06-01	1990-06-30	-17.3	-129	102	-4.5	3.91
8905600	-62.12	-58.56	9	1990-07-15	1990-07-01	1990-07-31	-12.5	-99	66	-5.6	3.54
8905600	-62.12	-58.56	9	1990-08-15	1990-08-01	1990-08-31	NaN	NaN	94	-5.7	3.22
8905600	-62.12	-58.56	9	1990-09-15	1990-09-01	1990-09-30	-15.4	-116	67	-3.2	4.05
8905600	-62.12	-58.56	9	1990-10-15	1990-10-01	1990-10-31	-10	-72	121	-2.5	4.27
8905600	-62.12	-58.56	9	1990-11-15	1990-11-01	1990-11-30	-12	-91	80	-1.1	4.59
8905600	-62.12	-58.56	9	1990-12-15	1990-12-01	1990-12-31	-13.6	-98	36	0.3	5.12
8905600	-62.12	-58.56	9	1991-01-15	1991-01-01	1991-01-31	-7	-57	101	2	6.38
8905600	-62.12	-58.56	9	1991-02-15	1991-02-01	1991-02-28	-11.1	-84	66	0.9	5.85
8905600	-62.12	-58.56	9	1991-03-15	1991-03-01	1991-03-31	-8.7	-61	33	NaN	5.54
8905600	-62.12	-58.56	9	1991-04-15	1991-04-01	1991-04-30	-6.5	-46	39	-2.2	4.8
8905600	-62.12	-58.56	9	1991-05-15	1991-05-01	1991-05-31	-19	-132	31	-7.1	3.11
8905600	-62.12	-58.56	9	1991-06-15	1991-06-01	1991-06-30	-13.7	-97	36	-9.4	2.63
8905600	-62.12	-58.56	9	1991-07-15	1991-07-01	1991-07-31	-20	-146	23	-6.6	3.43
8905600	-62.12	-58.56	9	1991-08-15	1991-08-01	1991-08-31	-6	-51	34	-7.2	3.26
8905600	-62.12	-58.56	9	1991-09-15	1991-09-01	1991-09-30	-17.1	-132	36	-3.5	4.31
8905600	-62.12	-58.56	9	1991-10-15	1991-10-01	1991-10-31	-9.7	-63	33	-3.7	4.07
8905600	-62.12	-58.56	9	1991-11-15	1991-11-01	1991-11-30	-9.3	-60	41	-0.9	5.21
8905600	-62.12	-58.56	9	1991-12-15	1991-12-01	1991-12-31	-7.5	-59	19	-0.3	5.34
8704601	-23.75	-65.5	2400	1998-01-15	1998-01-01	1998-01-31	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1998-02-15	1998-02-01	1998-02-28	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1998-03-15	1998-03-01	1998-03-31	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1998-04-15	1998-04-01	1998-04-30	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1998-05-15	1998-05-01	1998-05-31	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1998-06-15	1998-06-01	1998-06-30	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1998-07-15	1998-07-01	1998-07-31	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1998-08-15	1998-08-01	1998-08-31	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1998-09-15	1998-09-01	1998-09-30	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1998-10-15	1998-10-01	1998-10-31	-1.8	-3	13	16.7	NaN
8704601	-23.75	-65.5	2400	1998-11-15	1998-11-01	1998-11-30	NaN	NaN	NaN	17.8	NaN
8704601	-23.75	-65.5	2400	1998-12-15	1998-12-01	1998-12-31	-7.8	-48	8	19.1	NaN
8704601	-23.75	-65.5	2400	1999-01-15	1999-01-01	1999-01-31	-5.5	-25	34.5	18.8	NaN
8704601	-23.75	-65.5	2400	1999-02-15	1999-02-01	1999-02-28	-14.7	-110	45.4	17.7	NaN
8704601	-23.75	-65.5	2400	1999-03-15	1999-03-01	1999-03-31	-11.2	-77	46.3	17.9	NaN
8704601	-23.75	-65.5	2400	1999-04-15	1999-04-01	1999-04-30	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1999-05-15	1999-05-01	1999-05-31	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1999-06-15	1999-06-01	1999-06-30	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1999-07-15	1999-07-01	1999-07-31	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1999-08-15	1999-08-01	1999-08-31	NaN	NaN	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1999-09-15	1999-09-01	1999-09-30	-2.6	-12	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1999-10-15	1999-10-01	1999-10-31	-2.2	-8	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1999-11-15	1999-11-01	1999-11-30	-4.8	-27	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	1999-12-15	1999-12-01	1999-12-31	-3.3	-19	NaN	NaN	NaN
8704601	-23.75	-65.5	2400	2000-01-15	2000-01-01	2000-01-31	-4.5	-36	62	NaN	NaN
8704601	-23.75	-65.5	2400	2000-02-15	2000-02-01	2000-02-29	-5.7	-45	17	NaN	NaN
8704601	-23.75	-65.5	2400	2000-03-15	2000-03-01	2000-03-31	-6.4	-45	12	NaN	NaN
8704601	-23.75	-65.5	2400	2000-04-15	2000-04-01	2000-04-30	1.1	-11	1	NaN	NaN
8737401	-31.75	-60.73	16	1998-01-15	1998-01-01	1998-01-31	NaN	NaN	227	22.8	20.8
8737401	-31.75	-60.73	16	1998-02-15	1998-02-01	1998-02-28	NaN	NaN	92	21.9	20.9
8737401	-31.75	-60.73	16	1998-03-15	1998-03-01	1998-03-31	NaN	NaN	267	20	18.7
8737401	-31.75	-60.73	16	1998-04-15	1998-04-01	1998-04-30	NaN	NaN	84	16.5	16.4
8737401	-31.75	-60.73	16	1998-05-15	1998-05-01	1998-05-31	NaN	NaN	NaN	NaN	NaN
8737401	-31.75	-60.73	16	1998-06-15	1998-06-01	1998-06-30	NaN	NaN	30	12.2	11.9
8737401	-31.75	-60.73	16	1998-07-15	1998-07-01	1998-07-31	NaN	NaN	63	13	12.8
8737401	-31.75	-60.73	16	1998-08-15	1998-08-01	1998-08-31	NaN	NaN	203	12.5	11.1
8737401	-31.75	-60.73	16	1998-09-15	1998-09-01	1998-09-30	NaN	NaN	76	14.1	10.4
8737401	-31.75	-60.73	16	1998-10-15	1998-10-01	1998-10-31	-1.6	7	45	19.3	15.1
8737401	-31.75	-60.73	16	1998-11-15	1998-11-01	1998-11-30	-0.5	12	119	20.9	15.9
