%Latitude	Longitude	Elevation (m)	WMO Station #	Weighted Annual d2H (‰)	Weighted Annual d18O (‰)	Weighted Annual d-excess (‰)	Weighted Monthly d2H (‰)	Weighted Monthly d18O (‰)	Weighted Monthly d-excess (‰)
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-57.28	-9.32	13.79
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-55.63	-7.82	6.92
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-57.73	-8.00	4.01
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-67.20	-8.48	0.41
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-61.56	-8.47	4.97
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-63.61	-8.22	3.04
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-65.08	-8.90	6.11
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-64.33	-8.29	2.14
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-72.53	-9.55	7.02
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-58.65	-8.12	6.27
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-64.64	-10.32	17.96
51.88	-176.65	4.00	7045400	-64.11	-8.92	7.16	-78.75	-10.80	7.68
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-29.86	-6.25	18.25
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-30.48	-5.74	16.19
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-29.56	-5.75	16.83
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-24.16	-4.63	12.85
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-26.15	-4.48	9.72
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-16.61	-3.52	8.35
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-8.77	-1.79	5.54
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-6.05	-2.01	10.03
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-6.02	-2.03	10.25
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-22.69	-4.82	16.16
36.98	35.30	73.00	1735000	-29.40	-5.62	15.38	-36.00	-6.22	13.73
