%Latitude (°)	Longitude (°)	Elevation	Published distance from coast (km)	Calculated distance from coast (km)	Temperature (°C)	Accumulation (cm/year)	Deuterium (per mill) : mean	Oxygen 18 (per mill) : mean	Deuterium excess (per mill) : mean
-77.08	94.92	3650	1020	1021	-57.5	3.8	-428.38	-55.22	13.41
-78.47	106.8	3488	1410	1261	-55.5	2.3	-441.9	-57.2	15.68
-78.47	106.84	3488	1406	1260	-57	2.1	-440.05	-56.5	15.1
-75.1	123.35	3233	870	919	-54.5	2.5	-393.8	-50.33	8.79
-74.1	97.45	3499	840	838	-52.6	6.4	-398.52	-51.06	9.79
-77.48	158.72	2365	120	114	-37	6	-309.19	-39.23	4.65
-81.66	-148.82	621	470	468	-24.5	12.4	-202.27	-25.56	2.32
-77.19	39.42	3810	1000	807	-57.7	2.5	NaN	-59.23	NaN
-77.19	39.42	3810	1000	807	-54.4	2.5	-435.47	-56.7	18.13
-66.77	112.81	1379	90	92	NaN	64	-170.22	-21.66	3.09
-66.72	112.81	1270	90	88	NaN	114.4	-159	-20.49	4.91
-66.15	112.81	360	40	39	NaN	80	-132.66	-17.08	4.01
-80.02	-119.52	1530	620	624	-28	10	-245.65	-31.25	4.35
-80.37	77.37	4092.5	1180	1183	-58.5	1.6	-448.41	-58.32	18.13
-57.68	-64.22	1640	55	54	-14.3	49	-148.08	-19.08	4.58
-57.68	-64.2	1600	55	55	-14.3	58	-148.54	-19.35	6.36
-90	0	2900	1270	1271	NaN	NaN	-398.89	-51.05	9.5
-66.67	140.02	NaN	NaN	47	-10	NaN	-146	NaN	NaN
-78.58	-85.42	3687	590	590	NaN	NaN	-314.6	-40.09	6.1
-66.56	93.27	652	26	17	-17.4	67	-145.89	-19.03	6.36
-67.23	94.03	NaN	NaN	67	-24.5	NaN	-221.36	-27.98	2.44
-67.43	93.38	1415.9	104	85	-24.5	34.5	-221.3	-27.95	2.3
-67.66	94.53	1735	151	114	-27.4	22	-237.23	-30.18	4.21
-67.88	94.77	1880	175	140	-28.8	17	-252.23	-31.68	1.22
-68.4	95.36	2131	224	201	-32.7	14	-267.14	-33.72	2.59
-68.71	95.72	2403	273	238	-34.6	13	-292.33	-36.85	2.47
-69.17	96.24	2587	322	293	-37.1	12	-294.37	-37.46	5.31
-69.73	95.5	2741	369	348	-38.8	17.25	-307.3	-40.25	6.1
-69.61	96.74	NaN	NaN	346	-38.1	NaN	-299.48	-38.06	4.97
-69.94	97.11	2794	411	385	-40.2	16	-319.83	-40.63	5.21
