%long	lat	date	sal	d18O	dD
45.12	11.8	71979	36.42	0.8	5.2
48.17	11.45	71979	36.08	0.8	4.7
49.58	11.65	71979	36.08	0.8	5.2
50.73	12.28	71979	36.24	0.9	5.1
51.53	10.62	71979	35.5	0.65	3.4
46.35	2.28	81979	34.96	0.55	3.1
41.08	-2.98	81979	34.71	0.35	2.9
40.2	-5.9	81979	34.81	0.45	2.9
40.2	-7.2	81979	34.81	0.45	3.3
58.38	-28.73	131969	35.55	0.6	5.5
58.72	-29.47	131969	35.48	0.53	-99.9
59.75	-31.67	131969	35.53	0.34	4.4
60.73	-33.88	131969	35.45	0.42	4
61.75	-36.5	131969	35.34	0.32	4.2
62.83	-38.17	131969	35.25	0.46	3.7
61.35	-41.17	131969	35.4	0.44	3.8
65.13	-42.65	131969	34.23	0.11	-0.4
66.75	-45.5	131969	33.76	-0.17	-1.9
67.58	-45.97	131969	33.74	-0.34	-2.9
70.75	-49.38	131969	33.74	-0.3	-3.3
71.3	-50.4	131969	33.98	-0.19	-3.2
73.3	-52.88	131969	34.01	-0.23	-2.7
73.37	-53.02	131969	33.36	-0.38	-4.2
73.2	-52.83	131969	33.99	-99.9	-3.1
73.12	-52.73	131969	34.03	-0.25	-3.1
71.77	-51.62	131969	33.97	-0.45	-3.7
69.5	-49.68	131969	33.73	-0.46	-2.9
71.38	-48.2	131969	33.88	-0.39	-2.8
72.67	-46.17	131969	33.9	-0.31	-2
74.52	-43.65	131969	34.63	0.17	0.1
75.6	-41.82	131969	34.39	0.12	-0.2
76.98	-39	131969	35.07	0.51	2.4
