%TIMESTAMP,Latitude,lontitude,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Pricipitation,Rn,Wind_Speed,Wind_Direction
201406232015,56.198,12.341,10520.9936,-19.14,-9999,-132.65,-9999,15.8,0.62,101.485,-9999,-9999,-9999,-9999
201406232030,56.223,12.329,10808.06233,-18.87,-9999,-131.68,-9999,15.8,0.62,101.5,-9999,-9999,-9999,-9999
201406232045,56.248,12.317,10441.24119,-19.56,-9999,-137.05,-9999,15.8,0.65,101.5,-9999,-9999,-9999,-9999
201406232100,56.272,12.305,10170.04686,-19.82,-9999,-138.7,-9999,15.8,0.62,101.51,-9999,-9999,-9999,-9999
201406232115,56.297,12.293,10584.79206,-19.36,-9999,-134.3,-9999,15.8,0.645,101.5,-9999,-9999,-9999,-9999
201406232130,56.322,12.281,11111.01147,-18.91,-9999,-130.73,-9999,15.8,0.65,101.5,-9999,-9999,-9999,-9999
201406232145,56.347,12.269,10648.58743,-19.24,-9999,-134.18,-9999,15.65,0.655,101.5,-9999,-9999,-9999,-9999
201406232200,56.371,12.257,10855.90104,-18.88,-9999,-131.15,-9999,15.6,0.64,101.49,-9999,-9999,-9999,-9999
201406232215,56.643,12.427,11238.54816,-18.47,-9999,-128.1,-9999,15.6,0.65,101.485,-9999,-9999,-9999,-9999
201406232230,56.661,12.423,10887.79255,-18.7,-9999,-129.96,-9999,15.6,0.68,101.49,-9999,-9999,-9999,-9999
201406232245,56.68,12.419,11111.01147,-18.57,-9999,-128.69,-9999,15.65,0.65,101.475,-9999,-9999,-9999,-9999
201406232300,56.699,12.415,10824.00876,-18.71,-9999,-129.87,-9999,15.7,0.67,101.46,-9999,-9999,-9999,-9999
201406232315,56.718,12.41,10552.89322,-18.86,-9999,-131.74,-9999,15.8,0.67,101.46,-9999,-9999,-9999,-9999
201406232330,56.735,12.386,10536.94351,-18.79,-9999,-131.35,-9999,15.8,0.68,101.48,-9999,-9999,-9999,-9999
201406232345,56.751,12.359,10824.00876,-18.57,-9999,-128.99,-9999,15.75,0.665,101.465,-9999,-9999,-9999,-9999
201406240000,56.768,12.332,10632.63888,-18.65,-9999,-129.2,-9999,15.6,0.66,101.46,-9999,-9999,-9999,-9999
201406240015,56.785,12.305,11126.95423,-18.37,-9999,-126.67,-9999,15.5,0.66,101.46,-9999,-9999,-9999,-9999
201406240030,56.801,12.278,11095.06852,-18.38,-9999,-126.7,-9999,15.3,0.64,101.47,-9999,-9999,-9999,-9999
201406240045,56.818,12.253,11142.8968,-18.35,-9999,-126.42,-9999,15.2,0.67,101.475,-9999,-9999,-9999,-9999
201406240100,56.835,12.228,11190.72335,-18.41,-9999,-126.61,-9999,15.1,0.66,101.47,-9999,-9999,-9999,-9999
201406240115,56.851,12.203,11095.06852,-18.55,-9999,-127.06,-9999,15.05,0.69,101.47,-9999,-9999,-9999,-9999
201406240130,56.868,12.178,11142.8968,-18.46,-9999,-126.88,-9999,15,0.71,101.45,-9999,-9999,-9999,-9999
201406240145,56.885,12.151,11413.89094,-18.26,-9999,-125.49,-9999,14.95,0.69,101.465,-9999,-9999,-9999,-9999
201406240200,56.904,12.117,11222.60675,-18.44,-9999,-126.71,-9999,14.9,0.69,101.47,-9999,-9999,-9999,-9999
201406240215,56.923,12.084,11541.39831,-18.21,-9999,-124.99,-9999,15,0.7,101.46,-9999,-9999,-9999,-9999
201406240230,56.941,12.051,11477.64617,-18.21,-9999,-125.41,-9999,14.9,0.69,101.47,-9999,-9999,-9999,-9999
201406240245,56.96,12.017,11939.77926,-17.98,-9999,-123.29,-9999,14.9,0.7,101.465,-9999,-9999,-9999,-9999
201406240300,56.98,11.983,12274.32615,-17.77,-9999,-121.7,-9999,14.9,0.71,101.46,-9999,-9999,-9999,-9999
201406240315,57.001,11.948,12162.81996,-17.74,-9999,-121.67,-9999,14.95,0.71,101.46,-9999,-9999,-9999,-9999
201406240330,57.022,11.912,12067.23572,-17.71,-9999,-121.43,-9999,14.9,0.7,101.45,-9999,-9999,-9999,-9999
201406240345,57.043,11.877,11844.17883,-17.93,-9999,-123.19,-9999,14.9,0.72,101.46,-9999,-9999,-9999,-9999
201406240400,57.063,11.841,12035.37276,-17.82,-9999,-122.66,-9999,14.9,0.75,101.46,-9999,-9999,-9999,-9999
201406240415,57.083,11.807,11955.712,-17.9,-9999,-123.19,-9999,14.9,0.74,101.47,-9999,-9999,-9999,-9999
201406240430,57.102,11.774,11844.17883,-17.89,-9999,-123.91,-9999,14.8,0.74,101.48,-9999,-9999,-9999,-9999
201406240445,57.12,11.741,11366.0725,-18.88,-9999,-131.19,-9999,14.7,0.73,101.485,-9999,-9999,-9999,-9999
201406240500,57.139,11.707,10871.84689,-20.29,-9999,-141.75,-9999,14.6,0.75,101.5,-9999,-9999,-9999,-9999
201406240515,57.158,11.674,11174.78136,-19.96,-9999,-139.4,-9999,14.25,0.745,101.5,-9999,-9999,-9999,-9999
201406240530,57.178,11.639,10824.00876,-20.74,-9999,-145.19,-9999,14.1,0.73,101.5,-9999,-9999,-9999,-9999
201406240545,57.199,11.603,10935.62836,-20.86,-9999,-145.76,-9999,14.05,0.725,101.5,-9999,-9999,-9999,-9999
201406240600,57.22,11.568,10792.11571,-21.17,-9999,-148.33,-9999,14.1,0.7,101.5,-9999,-9999,-9999,-9999
201406240615,57.241,11.533,10760.22189,-21.28,-9999,-148.81,-9999,13.95,0.71,101.495,-9999,-9999,-9999,-9999
201406240630,57.262,11.497,-9999,-9999,-9999,-9999,-9999,13.9,0.7,101.5,-9999,-9999,-9999,-9999
201406240645,57.28,11.462,-9999,-9999,-9999,-9999,-9999,14.15,0.69,101.51,-9999,-9999,-9999,-9999
201406240700,57.299,11.426,-9999,-9999,-9999,-9999,-9999,14.4,0.68,101.51,-9999,-9999,-9999,-9999
201406240715,57.318,11.391,-9999,-9999,-9999,-9999,-9999,14.2,0.68,101.53,-9999,-9999,-9999,-9999
201406240730,57.337,11.355,-9999,-9999,-9999,-9999,-9999,14.3,0.71,101.56,-9999,-9999,-9999,-9999
201406240745,57.356,11.32,-9999,-9999,-9999,-9999,-9999,14.3,0.705,101.575,-9999,-9999,-9999,-9999
201406240800,57.379,11.285,-9999,-9999,-9999,-9999,-9999,14.2,0.68,101.58,-9999,-9999,-9999,-9999
201406240815,57.402,11.249,-9999,-9999,-9999,-9999,-9999,14.35,0.685,101.59,-9999,-9999,-9999,-9999
201406240830,57.425,11.214,-9999,-9999,-9999,-9999,-9999,14.5,0.68,101.59,-9999,-9999,-9999,-9999
201406240845,57.448,11.178,-9999,-9999,-9999,-9999,-9999,14.65,0.69,101.6,-9999,-9999,-9999,-9999
201406240900,57.472,11.144,-9999,-9999,-9999,-9999,-9999,14.6,0.7,101.6,-9999,-9999,-9999,-9999
201406240915,57.497,11.111,-9999,-9999,-9999,-9999,-9999,15,0.67,101.605,-9999,-9999,-9999,-9999
201406240930,57.522,11.077,-9999,-9999,-9999,-9999,-9999,15,0.68,101.61,-9999,-9999,-9999,-9999
201406240945,57.547,11.044,-9999,-9999,-9999,-9999,-9999,14.95,0.64,101.61,-9999,-9999,-9999,-9999
201406241000,57.572,11.011,-9999,-9999,-9999,-9999,-9999,16,0.67,101.61,-9999,-9999,-9999,-9999
201406241015,57.594,10.976,-9999,-9999,-9999,-9999,-9999,15.7,0.62,101.615,-9999,-9999,-9999,-9999
201406241030,57.615,10.941,-9999,-9999,-9999,-9999,-9999,15.9,0.64,101.62,-9999,-9999,-9999,-9999
201406241045,57.636,10.905,-9999,-9999,-9999,-9999,-9999,16,0.58,101.625,-9999,-9999,-9999,-9999
201406241100,57.657,10.87,-9999,-9999,-9999,-9999,-9999,16.3,0.58,101.63,-9999,-9999,-9999,-9999
201406241115,57.677,10.834,10696.43193,-21.57,-9999,-151.85,-9999,16.55,0.605,101.635,-9999,-9999,-9999,-9999
