%TIMESTAMP,Latitude,lontitude,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Pricipitation,Rn,U,WD
201208162215,27.506,-17.098,24703.54102,-9.98,-9999,-73.57,-9999,23.1,0.889,101.7,-9999,-9999,1.1,299.1
201208162230,27.502,-17.144,24309.01274,-9.96,-9999,-74.02,-9999,23.14,0.875,101.7,-9999,-9999,2.1,309
201208162245,27.498,-17.191,23219.49808,-10.33,-9999,-76.59,-9999,23.19,0.848,101.7,-9999,-9999,3,299.1
201208162300,27.494,-17.237,23203.70135,-10.37,-9999,-76.63,-9999,23.1,0.848,101.7,-9999,-9999,2.5,280.1
201208162315,27.49,-17.282,23108.91699,-10.44,-9999,-76.76,-9999,23.04,0.851,101.7,-9999,-9999,2.6,265.9
201208162330,27.486,-17.328,23187.90443,-10.43,-9999,-76.64,-9999,23.01,0.853,101.7,-9999,-9999,1.7,238.4
201208162345,27.482,-17.375,23361.66005,-10.41,-9999,-76.19,-9999,23.02,0.859,101.7,-9999,-9999,1.7,244.8
201208170000,27.478,-17.423,23582.77026,-10.37,-9999,-75.67,-9999,23,0.868,101.7,-9999,-9999,1.5,244.4
201208170015,27.474,-17.472,23566.97791,-10.33,-9999,-75.8,-9999,23.09,0.861,101.7,-9999,-9999,1.8,289.2
201208170030,27.47,-17.521,24324.79615,-10.23,-9999,-75.88,-9999,23.32,0.877,101.7,-9999,-9999,4.4,336
201208170045,27.466,-17.57,24924.42498,-10.12,-9999,-75.06,-9999,23.27,0.89,101.662,-9999,-9999,6,345.3
201208170100,27.462,-17.618,25082.17644,-10.04,-9999,-74.66,-9999,23.22,0.897,101.6,-9999,-9999,6.4,347.7
201208170115,27.458,-17.668,24971.75241,-10.09,-9999,-74.96,-9999,23.25,0.89,101.6,-9999,-9999,6.6,348.4
201208170130,27.454,-17.718,25145.27171,-9.95,-9999,-74.43,-9999,23.25,0.899,101.6,-9999,-9999,7.3,318.4
201208170145,27.45,-17.767,24861.31907,-10.05,-9999,-75.05,-9999,23.25,0.89,101.6,-9999,-9999,8.2,215
201208170200,27.446,-17.815,24529.96321,-10.21,-9999,-76.13,-9999,23.36,0.879,101.6,-9999,-9999,8,225.1
201208170215,27.442,-17.863,24782.43242,-10.07,-9999,-75.25,-9999,23.33,0.884,101.6,-9999,-9999,8,333.9
201208170230,27.438,-17.91,24356.36241,-10.27,-9999,-76.06,-9999,23.35,0.873,101.6,-9999,-9999,4.2,288.9
201208170245,27.434,-17.959,23788.05349,-10.51,-9999,-77.25,-9999,23.5,0.851,101.6,-9999,-9999,2.2,212.5
201208170300,27.43,-18.008,24135.38267,-10.43,-9999,-76.85,-9999,23.43,0.864,101.6,-9999,-9999,1.4,180
201208170315,27.426,-18.056,23882.78876,-10.52,-9999,-77.5,-9999,23.47,0.857,101.547,-9999,-9999,2,285.1
201208170330,27.421,-18.104,23882.78876,-10.55,-9999,-77.77,-9999,23.5,0.855,101.5,-9999,-9999,4.1,322.5
201208170345,27.418,-18.152,23882.78876,-10.56,-9999,-77.91,-9999,23.6,0.851,101.5,-9999,-9999,6.5,338.7
201208170400,27.414,-18.199,24482.61982,-10.38,-9999,-76.51,-9999,23.33,0.879,101.5,-9999,-9999,7.6,338.8
201208170415,27.41,-18.247,24056.4523,-10.56,-9999,-77.63,-9999,23.33,0.864,101.5,-9999,-9999,7.5,338.8
201208170430,27.406,-18.295,24119.59697,-10.52,-9999,-77.47,-9999,23.3,0.867,101.5,-9999,-9999,7.9,346.5
201208170445,27.402,-18.343,24198.52354,-10.47,-9999,-77.13,-9999,23.23,0.871,101.5,-9999,-9999,7,340.8
201208170500,27.398,-18.39,24103.81109,-10.51,-9999,-77.49,-9999,23.27,0.869,101.507,-9999,-9999,6.4,352.1
201208170515,27.394,-18.436,3166426.693,-9999,-9999,-9999,-9999,23.2,0.868,101.6,-9999,-9999,6.1,329.2
201208170530,27.39,-18.481,3166426.693,-9999,-9999,-9999,-9999,23.12,0.878,101.6,-9999,-9999,5.9,226.2
201208170545,27.386,-18.528,3166426.693,-9999,-9999,-9999,-9999,23.13,0.879,101.6,-9999,-9999,6.1,53
201208170600,27.382,-18.576,3166426.693,-9999,-9999,-9999,-9999,23.11,0.884,101.6,-9999,-9999,5.2,20.9
201208170615,27.378,-18.624,24435.27471,-10.25,-9999,-76.93,-9999,23.1,0.888,101.6,-9999,-9999,4.5,13.9
201208170630,27.374,-18.671,24529.96321,-10.28,-9999,-76.08,-9999,23.09,0.888,101.6,-9999,-9999,4.3,17.2
201208170645,27.37,-18.717,24214.30828,-10.42,-9999,-76.84,-9999,23.1,0.88,101.6,-9999,-9999,5.4,23.4
201208170700,27.366,-18.763,24324.79615,-10.36,-9999,-76.41,-9999,23.12,0.882,101.6,-9999,-9999,5.8,26.7
201208170715,27.363,-18.81,24166.95348,-10.44,-9999,-76.77,-9999,23.15,0.877,101.6,-9999,-9999,5.3,38.8
201208170730,27.359,-18.857,24419.49263,-10.36,-9999,-76.38,-9999,23.23,0.88,101.6,-9999,-9999,5.2,38
201208170745,27.355,-18.904,24324.79615,-10.42,-9999,-77.01,-9999,23.2,0.88,101.6,-9999,-9999,5,29.4
201208170800,27.351,-18.951,24387.9279,-10.43,-9999,-77,-9999,23.25,0.88,101.6,-9999,-9999,4.8,24.7
201208170815,27.347,-18.998,24356.36241,-10.46,-9999,-77.1,-9999,23.29,0.877,101.659,-9999,-9999,4.7,26.4
201208170830,27.343,-19.048,24245.87719,-10.51,-9999,-77.42,-9999,23.36,0.871,101.7,-9999,-9999,4.8,25.2
201208170845,27.338,-19.099,24309.01274,-10.5,-9999,-77.27,-9999,23.35,0.874,101.7,-9999,-9999,5.4,24.8
201208170900,27.334,-19.151,24151.16817,-10.6,-9999,-77.73,-9999,23.41,0.866,101.7,-9999,-9999,5.1,19.4
201208170915,27.329,-19.205,24166.95348,-10.59,-9999,-77.93,-9999,23.43,0.865,101.7,-9999,-9999,5.4,18.1
201208170930,27.325,-19.258,24119.59697,-10.59,-9999,-78.03,-9999,23.49,0.86,101.7,-9999,-9999,5.8,23.5
201208170945,27.321,-19.312,24024.87882,-10.67,-9999,-78.29,-9999,23.56,0.854,101.7,-9999,-9999,5.6,27.4
201208171000,27.316,-19.365,24040.66565,-10.65,-9999,-78.3,-9999,23.63,0.853,101.717,-9999,-9999,5,36.4
201208171015,27.311,-19.42,24182.7386,-10.59,-9999,-78.08,-9999,23.53,0.861,101.8,-9999,-9999,4.7,18
201208171030,27.307,-19.477,23851.2111,-10.72,-9999,-78.89,-9999,23.55,0.852,101.8,-9999,-9999,4.1,26.8
201208171045,27.302,-19.534,23740.68329,-10.78,-9999,-79.36,-9999,23.64,0.845,101.8,-9999,-9999,4,24.6
201208171100,27.297,-19.59,23930.15382,-10.73,-9999,-78.92,-9999,23.56,0.853,101.8,-9999,-9999,4.4,22.1
201208171115,27.293,-19.646,23961.72958,-10.71,-9999,-78.83,-9999,23.58,0.854,101.8,-9999,-9999,3.8,22.3
201208171130,27.288,-19.701,23819.63268,-10.76,-9999,-79.19,-9999,23.6,0.848,101.8,-9999,-9999,3.9,24.7
201208171145,27.283,-19.758,23724.89284,-10.8,-9999,-79.52,-9999,23.57,0.849,101.8,-9999,-9999,3.9,30.6
201208171200,27.278,-19.815,23503.80661,-10.93,-9999,-80.18,-9999,23.68,0.836,101.8,-9999,-9999,4.1,37.4
201208171215,27.274,-19.873,3166426.693,-9999,-9999,-9999,-9999,23.63,0.848,101.8,-9999,-9999,4.2,28.8
201208171230,27.269,-19.929,3166426.693,-9999,-9999,-9999,-9999,23.59,0.842,101.8,-9999,-9999,3.7,27
201208171245,27.264,-19.984,3166426.693,-9999,-9999,-9999,-9999,23.61,0.838,101.8,-9999,-9999,3.5,39.5
201208171300,27.26,-20.038,3166426.693,-9999,-9999,-9999,-9999,23.6,0.839,101.8,-9999,-9999,3.8,38.7
201208171315,27.255,-20.093,23314.27444,-10.96,-9999,-80.81,-9999,23.65,0.833,101.8,-9999,-9999,4.1,39.9
201208171330,27.25,-20.149,23472.21981,-10.94,-9999,-80.24,-9999,23.69,0.833,101.8,-9999,-9999,4,42.4
201208171345,27.246,-20.201,23566.97791,-10.88,-9999,-79.73,-9999,23.73,0.832,101.8,-9999,-9999,4.5,42.5
201208171400,27.245,-20.217,23582.77026,-10.95,-9999,-79.71,-9999,23.75,0.832,101.75,-9999,-9999,4.3,42.4
201208171415,27.245,-20.219,23409.04395,-10.99,-9999,-80.27,-9999,23.71,0.827,101.7,-9999,-9999,4.2,49.9
201208171430,27.245,-20.222,23456.42613,-11.01,-9999,-80.22,-9999,23.74,0.83,101.7,-9999,-9999,3.9,45.2
201208171445,27.244,-20.224,23566.97791,-10.99,-9999,-79.93,-9999,23.81,0.83,101.7,-9999,-9999,4.1,38.2
201208171500,27.244,-20.226,23424.8382,-11.04,-9999,-80.26,-9999,23.8,0.827,101.7,-9999,-9999,4.5,37.6
201208171515,27.244,-20.229,23393.2495,-11.03,-9999,-80.29,-9999,23.8,0.823,101.7,-9999,-9999,4.7,34
201208171530,27.244,-20.231,23393.2495,-11.02,-9999,-80.3,-9999,23.82,0.823,101.7,-9999,-9999,4.6,30.6
201208171545,27.245,-20.235,23677.52036,-10.97,-9999,-79.59,-9999,23.82,0.829,101.7,-9999,-9999,4.8,31.5
201208171600,27.248,-20.236,23645.93775,-10.95,-9999,-79.59,-9999,23.86,0.825,101.687,-9999,-9999,4.7,30.7
201208171615,27.252,-20.236,23582.77026,-10.97,-9999,-79.79,-9999,23.89,0.825,101.6,-9999,-9999,4.8,37.7
201208171630,27.253,-20.239,23582.77026,-10.96,-9999,-79.79,-9999,23.9,0.826,101.6,-9999,-9999,4.4,43.2
201208171645,27.254,-20.242,23819.63268,-10.89,-9999,-79.22,-9999,23.88,0.83,101.6,-9999,-9999,4,43.5
201208171700,27.255,-20.244,23756.47355,-10.95,-9999,-79.48,-9999,23.84,0.832,101.6,-9999,-9999,3.6,53.5
201208171715,27.255,-20.246,23645.93775,-10.96,-9999,-79.78,-9999,23.83,0.83,101.6,-9999,-9999,3.3,59.2
201208171730,27.255,-20.248,23835.42198,-10.94,-9999,-79.38,-9999,23.91,0.834,101.6,-9999,-9999,2.8,50.5
201208171745,27.257,-20.251,23788.05349,-10.97,-9999,-79.55,-9999,23.94,0.83,101.6,-9999,-9999,3.8,33.8
201208171800,27.262,-20.256,23930.15382,-10.87,-9999,-79.21,-9999,23.99,0.832,101.6,-9999,-9999,4.5,27.1
201208171815,27.269,-20.262,23961.72958,-10.88,-9999,-79.12,-9999,24.13,0.829,101.6,-9999,-9999,4.3,34.1
201208171830,27.281,-20.269,24072.23875,-10.85,-9999,-78.84,-9999,24.15,0.829,101.6,-9999,-9999,3.1,48.2
201208171845,27.293,-20.271,24135.38267,-10.76,-9999,-78.7,-9999,24.1,0.836,101.6,-9999,-9999,2.1,52.2
201208171900,27.299,-20.279,24529.96321,-10.58,-9999,-77.84,-9999,24,0.852,101.6,-9999,-9999,4.4,32
201208171915,27.295,-20.323,24561.52452,-10.59,-9999,-77.87,-9999,23.98,0.849,101.6,-9999,-9999,3.8,36.3
201208171930,27.29,-20.375,3166426.693,-9999,-9999,-9999,-9999,24.07,0.842,101.6,-9999,-9999,3.9,76.7
201208171945,27.285,-20.428,3166426.693,-9999,-9999,-9999,-9999,23.95,0.835,101.627,-9999,-9999,3,42.4
201208172000,27.281,-20.479,3166426.693,-9999,-9999,-9999,-9999,23.87,0.84,101.7,-9999,-9999,1.8,58.4
201208172015,27.277,-20.529,23503.80661,-10.98,-9999,-80.54,-9999,23.8,0.835,101.7,-9999,-9999,1.3,45.4
201208172030,27.272,-20.579,23551.18537,-10.98,-9999,-80.24,-9999,23.79,0.832,101.7,-9999,-9999,1.3,57.4
