%TIMESTAMP,Latitude ,Longitude ,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,Ta,RH,P,Pricipitation,Rn,U,WD
201311270300,-31.967,115.675,15731,-12.38,-9999,-85.6,-9999,24,0.57,100.66,-9999,-9999,8.406438009,21.71345475
201311270400,-31.9,115.417,16239,-12.24,-9999,-84.2,-9999,22.2,0.63,100.7,-9999,-9999,9.609703429,11.40381285
201311270500,-31.983,115.175,16539,-11.98,-9999,-83.1,-9999,22,0.65,100.63,-9999,-9999,10.57529196,5.861714275
201311270600,-32.15,115.05,16694,-11.76,-9999,-82.9,-9999,22.7,0.63,100.49,-9999,-9999,10.71539547,13.71243349
201311270700,-32.367,114.917,18438,-10.95,-9999,-81.2,-9999,22.7,0.65,100.46,-9999,-9999,12.03879147,18.45054309
201311270800,-32.567,114.783,18898,-10.8,-9999,-80.7,-9999,21.9,0.74,100.45,-9999,-9999,13.23748088,12.96580141
201311270900,-32.767,114.667,18253,-11.22,-9999,-81.3,-9999,21.5,0.8,100.48,-9999,-9999,13.32714523,4.820908259
201311271000,-32.967,114.55,17966,-11.34,-9999,-82,-9999,20.9,0.75,100.53,-9999,-9999,13.24665996,1.816984132
201311271100,-33.167,114.417,18082,-11.1,-9999,-82.4,-9999,20.5,0.76,100.57,-9999,-9999,13.25990196,373.259902
201311271200,-33.367,114.283,18104,-11.12,-9999,-82,-9999,20.2,0.78,100.63,-9999,-9999,13.01863664,373.0186366
201311271300,-33.567,114.158,18162,-10.98,-9999,-81.8,-9999,20.2,0.78,100.71,-9999,-9999,12.26652355,372.2665235
201311271400,-33.758,114.033,18138,-10.82,-9999,-81.8,-9999,19.9,0.8,100.79,-9999,-9999,10.70986461,370.7098646
201311271500,-33.958,113.917,17923,-10.8,-9999,-81.6,-9999,19.3,0.82,100.8,-9999,-9999,10.60845889,370.6084589
201311271600,-34.167,113.783,17503,-11.06,-9999,-82,-9999,19.2,0.82,100.77,-9999,-9999,11.1536048,371.1536048
201311271700,-34.367,113.65,17237,-11.16,-9999,-82.5,-9999,19.5,0.8,100.76,-9999,-9999,10.86519673,370.8651967
201311271800,-34.592,113.5,16827,-11.34,-9999,-84,-9999,19.3,0.81,100.76,-9999,-9999,10.94306173,370.9430617
