%TIMESTAMP,Latitude,lontitude,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Pricipitation,Rn,U,WD
201405011215,5.065,-4,18.03,-14.56,-9999,-104.74,-9999,29,0.737,101.1,-9999,-9999,3.7,255.5
201405011230,5.018,-3.999,18.23,-14.23,-9999,-102.42,-9999,28.91,0.751,101.086,-9999,-9999,3.8,263
201405011245,4.971,-3.997,18.51,-13.91,-9999,-99.9,-9999,28.9,0.762,101.066,-9999,-9999,3.5,266.8
201405011300,4.923,-3.993,18.73,-13.63,-9999,-97.58,-9999,28.9,0.769,101.042,-9999,-9999,3.8,275
201405011315,4.875,-3.99,18.72,-13.45,-9999,-96.17,-9999,28.9,0.768,101.013,-9999,-9999,4,276.3
201405011330,4.828,-3.984,18.81,-13.28,-9999,-94.87,-9999,28.89,0.772,100.983,-9999,-9999,3.9,274.9
201405011345,4.78,-3.986,18.79,-13.21,-9999,-94.41,-9999,28.9,0.772,100.957,-9999,-9999,3.8,278.6
201405011400,4.732,-3.99,18.92,-13.12,-9999,-93.78,-9999,28.9,0.777,100.929,-9999,-9999,3.6,271.3
201405011415,4.685,-3.994,19.04,-13.06,-9999,-93.29,-9999,28.86,0.783,100.899,-9999,-9999,4.1,278
201405011430,4.638,-3.996,19,-13.07,-9999,-93.46,-9999,28.83,0.783,100.89,-9999,-9999,4.3,263.5
201405011445,4.591,-3.998,19.13,-12.95,-9999,-92.58,-9999,28.84,0.789,100.883,-9999,-9999,5,262.4
201405011500,4.545,-3.998,19.76,-11.95,-9999,-84.73,-9999,28.16,0.85,100.857,-9999,-9999,8.4,246.8
201405011515,4.507,-4.002,19.96,-12.04,-9999,-85.57,-9999,27.79,0.869,100.841,-9999,-9999,8.1,252.7
201405011530,4.478,-3.998,20.02,-11.77,-9999,-83.43,-9999,27.8,0.873,100.841,-9999,-9999,7.9,250
201405011545,4.432,-3.997,19.47,-11.55,-9999,-81.68,-9999,28.19,0.829,100.841,-9999,-9999,6.8,247.1
201405011600,4.386,-3.998,18.86,-11.41,-9999,-80.14,-9999,28.59,0.787,100.837,-9999,-9999,6.9,241.9
201405011615,4.341,-3.998,18.97,-11.2,-9999,-78.28,-9999,28.78,0.783,100.848,-9999,-9999,6.5,240.7
201405011630,4.296,-3.997,18.96,-11.09,-9999,-77.28,-9999,28.8,0.783,100.852,-9999,-9999,6,232.9
201405011645,4.252,-3.996,18.97,-11.01,-9999,-76.62,-9999,28.71,0.786,100.854,-9999,-9999,5.7,230.3
201405011700,4.207,-3.995,18.92,-11.04,-9999,-76.67,-9999,28.6,0.79,100.879,-9999,-9999,5.5,233.1
201405011715,4.163,-3.995,18.93,-11.04,-9999,-76.49,-9999,28.54,0.794,100.907,-9999,-9999,5,238.3
201405011730,4.119,-3.996,-9999,-9999,-9999,-9999,-9999,28.47,0.792,100.928,-9999,-9999,4,227.1
201405011745,4.075,-3.996,-9999,-9999,-9999,-9999,-9999,28.5,0.792,100.934,-9999,-9999,4.3,228.1
201405011800,4.032,-3.997,-9999,-9999,-9999,-9999,-9999,28.56,0.79,100.938,-9999,-9999,4.7,229.8
201405011815,3.987,-3.998,-9999,-9999,-9999,-9999,-9999,28.41,0.793,100.932,-9999,-9999,4.8,230.8
201405011830,3.942,-3.999,-9999,-9999,-9999,-9999,-9999,28.42,0.785,100.961,-9999,-9999,3.7,222.2
201405011845,3.896,-4,18.61,-11.08,-9999,-76.3,-9999,28.46,0.784,100.972,-9999,-9999,3.4,217.9
201405011900,3.85,-4,18.53,-11.08,-9999,-76.36,-9999,28.4,0.786,100.984,-9999,-9999,3.6,214.8
201405011915,3.803,-3.999,18.58,-11.08,-9999,-76.12,-9999,28.4,0.783,101,-9999,-9999,3.1,228.8
201405011930,3.756,-3.997,18.51,-11.09,-9999,-76.24,-9999,28.4,0.782,101.019,-9999,-9999,3,230.9
201405011945,3.709,-3.996,18.52,-11.35,-9999,-78.41,-9999,28.37,0.783,101.038,-9999,-9999,3.4,191.6
201405012000,3.662,-3.997,17.97,-11.69,-9999,-81.05,-9999,28.41,0.757,101.073,-9999,-9999,2.8,174
201405012015,3.616,-3.999,17.75,-11.36,-9999,-78.5,-9999,28.74,0.739,101.07,-9999,-9999,3.8,186
201405012030,3.57,-4.001,18.46,-11.37,-9999,-78.41,-9999,28.42,0.789,101.073,-9999,-9999,4,190.3
201405012045,3.523,-4.002,18.33,-11.46,-9999,-79.1,-9999,28.51,0.768,101.096,-9999,-9999,4.7,200.8
201405012100,3.477,-4.003,17.32,-12.76,-9999,-88.72,-9999,28.57,0.724,101.122,-9999,-9999,3.8,210
201405012115,3.431,-4.003,17.05,-13.14,-9999,-91.9,-9999,28.66,0.713,101.142,-9999,-9999,2,175.3
201405012130,3.384,-4.005,17.69,-11.88,-9999,-81.82,-9999,28.88,0.733,101.15,-9999,-9999,1.8,189.7
201405012145,3.337,-4.006,18.1,-11.36,-9999,-77.85,-9999,28.87,0.747,101.146,-9999,-9999,2.8,200.3
201405012200,3.29,-4.006,17.78,-11.31,-9999,-77.7,-9999,28.9,0.732,101.137,-9999,-9999,4.3,199
201405012215,3.243,-4.006,17.84,-11.27,-9999,-77.58,-9999,28.98,0.733,101.15,-9999,-9999,4.4,189.1
201405012230,3.195,-4.007,18.6,-10.98,-9999,-75.5,-9999,28.92,0.766,101.14,-9999,-9999,4.4,189.6
201405012245,3.148,-4.007,18.54,-11.01,-9999,-75.72,-9999,28.8,0.768,101.13,-9999,-9999,4.6,181.2
201405012300,3.1,-4.008,18.83,-11.03,-9999,-75.63,-9999,28.63,0.786,101.13,-9999,-9999,5.7,183.8
201405012315,3.052,-4.007,18.2,-11.24,-9999,-77.29,-9999,28.6,0.763,101.126,-9999,-9999,5.5,188.7
201405012330,3.005,-4.005,18.01,-11.27,-9999,-77.74,-9999,28.7,0.75,101.113,-9999,-9999,5.2,190.3
201405012345,2.957,-4.003,17.63,-11.54,-9999,-79.68,-9999,28.71,0.731,101.1,-9999,-9999,4.6,190.4
201405020000,2.908,-4,17.56,-11.55,-9999,-79.64,-9999,28.77,0.73,101.083,-9999,-9999,4.9,194.5
201405020015,2.859,-4,18.29,-11.14,-9999,-76.66,-9999,28.84,0.753,101.072,-9999,-9999,6,199.4
201405020030,2.811,-3.999,-9999,-9999,-9999,-9999,-9999,28.79,0.75,101.067,-9999,-9999,5.9,203.7
201405020045,2.763,-3.999,-9999,-9999,-9999,-9999,-9999,28.71,0.758,101.041,-9999,-9999,6.2,208.7
201405020100,2.716,-3.999,-9999,-9999,-9999,-9999,-9999,28.7,0.759,101.014,-9999,-9999,6.4,204.5
201405020115,2.668,-3.999,-9999,-9999,-9999,-9999,-9999,28.64,0.753,100.99,-9999,-9999,6.2,205
201405020130,2.621,-4,-9999,-9999,-9999,-9999,-9999,28.66,0.756,100.978,-9999,-9999,6.2,204
201405020145,2.573,-4.001,-9999,-9999,-9999,-9999,-9999,28.6,0.755,100.952,-9999,-9999,5.8,207.5
201405020200,2.526,-4.002,-9999,-9999,-9999,-9999,-9999,28.59,0.769,100.929,-9999,-9999,6.1,210.4
201405020215,2.479,-4.003,-9999,-9999,-9999,-9999,-9999,28.52,0.769,100.901,-9999,-9999,6.1,207.1
201405020230,2.431,-4.003,-9999,-9999,-9999,-9999,-9999,28.5,0.754,100.88,-9999,-9999,6.1,208.8
201405020245,2.384,-4.004,18.33,-10.94,-9999,-76.32,-9999,28.52,0.758,100.856,-9999,-9999,6.5,214.2
201405020300,2.337,-4.004,18.39,-11,-9999,-76.2,-9999,28.43,0.777,100.84,-9999,-9999,6.9,221.2
201405020315,2.29,-4.004,18.26,-11.1,-9999,-76.67,-9999,28.4,0.772,100.82,-9999,-9999,6.7,219.9
201405020330,2.243,-4.004,18.27,-11.08,-9999,-76.73,-9999,28.4,0.771,100.808,-9999,-9999,6.5,217.2
201405020345,2.196,-4.004,18.24,-11.11,-9999,-76.82,-9999,28.33,0.771,100.777,-9999,-9999,7,216.2
201405020400,2.149,-4.003,18.34,-11.07,-9999,-76.5,-9999,28.3,0.78,100.754,-9999,-9999,6.7,218.9
201405020415,2.102,-4.003,18.4,-11.03,-9999,-76.3,-9999,28.3,0.782,100.745,-9999,-9999,6.7,221.8
201405020430,2.056,-4.002,18.26,-11.1,-9999,-76.77,-9999,28.3,0.776,100.738,-9999,-9999,6.9,222
201405020445,2.01,-4.004,18.31,-11.04,-9999,-76.53,-9999,28.29,0.777,100.743,-9999,-9999,6.8,224.3
201405020500,1.986,-4.037,18.39,-11.03,-9999,-76.31,-9999,28.3,0.781,100.75,-9999,-9999,6.6,215.8
201405020515,1.972,-4.082,18.22,-11.09,-9999,-76.85,-9999,28.3,0.773,100.75,-9999,-9999,6.2,216.9
201405020530,1.958,-4.127,18.41,-11,-9999,-76.29,-9999,28.3,0.781,100.766,-9999,-9999,6.2,218.2
201405020545,1.943,-4.172,18.42,-10.97,-9999,-76.12,-9999,28.29,0.784,100.766,-9999,-9999,6.4,214.1
201405020600,1.927,-4.216,18.44,-10.95,-9999,-76.07,-9999,28.25,0.786,100.776,-9999,-9999,7,209.6
201405020615,1.912,-4.261,18.71,-10.87,-9999,-75.46,-9999,28.26,0.798,100.781,-9999,-9999,7,208.8
201405020630,1.898,-4.307,18.82,-10.82,-9999,-75.09,-9999,28.21,0.801,100.797,-9999,-9999,7.2,207.4
201405020645,1.884,-4.352,18.65,-10.89,-9999,-75.63,-9999,28.26,0.792,100.816,-9999,-9999,7.4,204.9
201405020700,1.869,-4.396,18.52,-10.95,-9999,-76.03,-9999,28.28,0.788,100.833,-9999,-9999,7.4,200.8
201405020715,1.853,-4.441,18.71,-10.87,-9999,-75.55,-9999,28.3,0.792,100.857,-9999,-9999,7.6,199.1
201405020730,1.837,-4.486,18.54,-10.93,-9999,-75.95,-9999,28.3,0.787,100.875,-9999,-9999,7.2,197.6
201405020745,1.821,-4.532,18.58,-10.93,-9999,-75.91,-9999,28.38,0.786,100.895,-9999,-9999,7.2,188.6
201405020800,1.805,-4.578,18.55,-10.94,-9999,-76.08,-9999,28.4,0.781,100.925,-9999,-9999,7.4,181.1
201405020815,1.789,-4.623,18.81,-10.86,-9999,-75.47,-9999,28.42,0.786,100.954,-9999,-9999,7.5,180
201405020830,1.774,-4.669,-9999,-9999,-9999,-9999,-9999,28.4,0.785,100.978,-9999,-9999,7.4,178.5
201405020845,1.758,-4.715,-9999,-9999,-9999,-9999,-9999,28.46,0.783,100.993,-9999,-9999,7.1,174.1
201405020900,1.743,-4.76,-9999,-9999,-9999,-9999,-9999,28.45,0.794,101.002,-9999,-9999,6.8,178.3
201405020915,1.731,-4.807,18.55,-10.73,-9999,-75.43,-9999,28.39,0.794,101.017,-9999,-9999,7,173
201405020930,1.718,-4.853,18.83,-10.72,-9999,-74.77,-9999,28.4,0.794,101.015,-9999,-9999,7.1,173.5
201405020945,1.704,-4.899,18.71,-10.76,-9999,-74.96,-9999,28.44,0.787,101.026,-9999,-9999,7,169.2
201405021000,1.689,-4.945,18.44,-10.87,-9999,-75.73,-9999,28.53,0.775,101.046,-9999,-9999,6.5,165.6
201405021015,1.674,-4.992,18.74,-10.71,-9999,-74.69,-9999,28.51,0.784,101.064,-9999,-9999,6.4,165
201405021030,1.658,-5.038,18.63,-10.78,-9999,-75.04,-9999,28.59,0.78,101.069,-9999,-9999,6.9,157.1
