%Latitudea (degreesS)	Longtitudea (degreesE)	Atmospheric Pressure(hPa)	Air Temperature (degreesC)	SST(degreesC)	h(%)	delta18O(permil)	deltaD(permil)	d(permil)
38.91	20.11	1017	18.3	22.8	63.7	-15.71	-91.7	34
39.86	20.53	1018	19.4	21.5	57	-14.56	-86.5	30
40.56	20.93	1016	18.7	21.2	65.8	-14.47	-96.3	19.5
42.59	21.75	1012	13	11.6	86.3	-12.09	-90.1	6.6
45.49	22.73	989	10.8	8.2	89.3	-12.36	-96.4	2.5
46.65	22.94	984	4.7	5.7	81.1	-15.86	-116.3	10.6
47.45	23.05	1001	4.9	5.8	69.8	-15.93	-117.1	10.3
49.92	24.65	999	2.4	3.7	80.1	-15.42	-115.6	7.7
52.88	26.04	998	1.7	1.6	82.3	-13.9	-110.5	0.7
55.51	27.17	999	0.9	1.7	71.8	-17.73	-131.6	10.2
58.09	28.83	995	0.9	1.3	78.8	-15.87	-122.1	4.9
60.64	30.37	996	0.3	1.1	84.4	-15.45	-123.3	0.3
63.4	32	998	0.7	1.2	81.2	-16.12	-124.6	4.4
65.1	33.75	995	-0.3	0	80.1	-17.17	-134	3.4
65.32	34.54	994	-0.3	0.1	79.7	-17.24	-132.2	5.8
65.46	34.55	994	-1.6	0.1	80.7	-19.27	-150.5	3.6
65.45	34.4	994	-1.7	0.1	84.3	-21.79	-163.3	11.1
65.44	34.34	994	-1.9	0.2	82.6	-22.32	-169	9.6
65.71	35.03	994	-1.5	-0.1	76.5	-23.94	-182.8	8.7
66.17	35.94	993	-2.1	0.2	79.7	-24.97	-187.1	12.7
66.17	36.15	994	-1	0.4	78.8	-22.15	-168.1	9
65.74	36.11	997	-1.3	0.4	79.5	-22.98	-170.2	13.6
65.15	36.05	997	0.9	1	84	-16.92	-130.2	5.1
65.12	35.32	995	0.2	0.6	94.6	-13.57	-113.6	-5
65.02	37.89	992	1.4	1.6	93.4	-15.46	-126.8	-3.1
65.33	38	984	0.5	1.7	96.9	-14.58	-120.1	-3.4
66.83	37.76	971	-0.5	0.1	95.7	-17.58	-139.2	1.5
66.82	37.71	971	-0.5	0	95.1	-15.87	-128.1	-1.1
66.59	39.01	977	-0.1	0.3	95.2	-13.32	-111.5	-5
66.09	40.77	981	0	1.5	94.4	-13.82	-113	-2.4
66.01	41.11	987	0.1	1.4	87.2	-15.12	-118.7	2.3
65.48	42.88	987	-0.2	1.2	88.6	-14.88	-115.6	3.5
65.5	49.76	987	-0.9	-0.2	75.4	-22.24	-160	17.9
65.87	51.27	991	0.4	-0.1	60.2	-23.13	-174.1	10.9
65.34	54.97	992	0	0.2	70.7	-18.35	-139.1	7.7
64.29	61.83	991	0.4	1	93.5	-13.27	-108.9	-2.8
62.39	71.16	995	0.4	1.7	85.4	-15.61	-114.9	10
61.51	74.27	995	0.3	1.8	77	-16.41	-120.9	10.4
60.54	77.48	994	0	2.1	93.3	-15.54	-115.4	9
59.45	80.79	994	1.8	2.6	74.1	-17.39	-124.3	14.8
58.61	83.47	993	1.4	2.8	74.2	-16.45	-123.5	8.1
57.78	85.53	993	1.8	3.3	73.7	-17.49	-130.1	9.8
56.45	88.19	995	3.6	3.5	67.3	-17.86	-131	11.9
55.41	90.24	998	3.4	3.5	70.9	-16.49	-122.8	9.1
54.53	91.82	1003	4.6	3.7	69.5	-15.95	-115	12.6
53.27	93.91	1006	5.8	4.4	64.4	-15.94	-116.5	11
51.89	95.97	999	4.8	5	86.2	-14.64	-110	7.1
49.6	98.94	992	6.3	5.9	91.4	-12.27	-98.7	-0.5
48.66	100.27	998	6.2	6	84.1	-13.47	-105.7	2
47.19	102.15	1008	7.7	7.4	78.7	-13.96	-108.9	2.8
45.18	104.34	1013	8.8	9.8	80.8	-13.83	-107	3.6
43.56	105.98	1016	10	10.6	83.7	-13.52	-104.4	3.7
42.11	107.3	1020	10.4	11.8	66.1	-15.09	-109.5	11.2
40.76	108.35	1022	10.8	12.5	63	-16.13	-116.6	12.5
38.89	110.02	1024	12.5	14.6	66.4	-15.07	-106.2	14.4
37.99	110.99	1025	13	15.6	61.8	-15.69	-109.3	16.2
36.79	112.13	1024	13.8	16.2	64.2	-15.29	-105.8	16.5
35.55	113.05	1025	15.2	16.8	58.2	-15.46	-104.7	19
34.48	113.7	1023	17.2	18.6	62.3	-14.92	-100.4	19
33.47	114.35	1022	17	19.4	67.3	-14.6	-97.9	18.9
