%Lat	Long	T(air)	SST	h	hn	U	del18O	del17O	17Oex
38.91	20.11	18.3	22.9	63.7	48.2	4.2	-14.749	-7.785	30
39.86	20.53	19.4	21.5	57	49.9	6.8	-13.833	-7.282	46
40.56	20.93	18.7	21.2	65.8	56.3	6.5	-13.927	-7.343	35
42.59	21.75	13	11.6	86.3	94.6	8.6	-11.652	-6.16	9
45.49	22.73	10.8	8.2	89.3	106.1	18.4	-11.95	-6.317	11
46.65	22.94	4.7	5.7	81.1	76	27.2	-15.209	-8.035	25
47.45	23.05	4.9	5.8	69.8	65.3	14.4	-15.185	-8.029	18
49.92	24.65	2.4	3.7	80.1	72.9	14.9	-14.994	-7.92	25
52.88	26.04	1.7	1.6	82.3	82.9	15.7	-13.445	-7.117	5
55.51	27.17	0.9	1.7	71.8	67.8	12.1	-16.993	-8.986	23
58.09	28.83	0.9	1.3	78.8	76.9	12	-15.115	-7.999	10
60.64	30.37	0.3	1.1	84.4	79.6	9.9	-14.733	-7.807	-1
63.4	32	0.7	1.2	81.2	78.2	9.7	-15.466	-8.194	2
65.1	33.75	-0.3	0	80.1	78.3	11.7	-16.312	-8.647	-1
65.32	34.54	-0.3	0.1	79.7	77.4	9.2	-16.175	-8.568	5
65.46	34.55	-1.6	0.1	80.7	71.1	8.9	-18.123	-9.604	6
65.44	34.34	-1.9	0.2	82.6	71.2	7.2	-21.318	-11.308	6
65.71	35.03	-1.5	-0.1	76.5	69	9.1	-22.611	-11.993	5
66.17	35.94	-2.1	0.2	79.7	67.4	6.9	-23.414	-12.416	10
66.17	36.15	-1	0.4	78.8	70.9	7.5	-20.905	-11.088	5
65.12	35.32	0.2	0.6	94.6	91.7	6	-12.89	-6.833	-6
65.02	37.89	1.4	1.6	93.4	91.5	5.7	-14.177	-7.511	0
65.33	38	0.5	1.7	96.9	88.9	7.2	-13.817	-7.317	2
66.83	37.76	-0.5	0.1	95.7	91.6	11.9	-16.478	-8.73	5
66.82	37.71	-0.5	0	95.1	92.2	11.9	-14.997	-7.949	-2
66.59	39.01	-0.1	0.3	95.2	92.6	13.1	-12.478	-6.612	-4
66.09	40.77	0	1.5	94.4	84.7	17.8	-12.443	-6.594	-5
65.5	49.76	-0.9	-0.2	75.4	71.8	13.6	-21.005	-11.124	22
65.87	51.27	0.4	-0.1	60.2	62.2	6.7	-22.004	-11.664	15
65.34	54.97	0	0.2	70.7	69.7	8.8	-17.426	-9.235	4
64.29	61.83	0.4	1	93.5	89.3	6.3	-12.64	-6.686	8
62.39	71.16	0.4	1.7	85.4	77.6	4.7	-14.448	-7.644	11
60.54	77.48	0	2.1	93.3	80.5	3.5	-14.963	-7.917	12
59.45	80.79	1.8	2.6	74.1	70.1	2.8	-16.4	-8.676	17
58.61	83.47	1.4	2.8	74.2	67.2	4.3	-15.716	-8.312	17
57.78	85.33	1.8	3.3	73.7	66.2	6.1	-16.503	-8.729	19
56.45	88.19	3.6	3.5	67.3	68.2	7.8	-16.703	-8.836	18
55.41	90.24	3.4	3.5	70.9	70.5	6.5	-15.608	-8.252	20
53.27	93.91	5.8	4.4	64.4	71.3	6.8	-15.143	-8.005	19
51.89	95.97	4.8	5	86.2	84.6	13.1	-14.034	-7.428	7
49.6	98.94	6.3	5.9	91.4	94.2	11.6	-11.693	-6.193	-2
48.66	100.27	60.2	6	84.1	85.5	12.8	-14.225	-7.522	14
47.19	10.2.15	7.7	7.4	78.7	80.2	13.5	-13.684	-7.229	20
45.18	104.34	8.8	9.8	80.8	75.2	13.9	-12.68	-6.699	16
43.56	105.98	10	10.6	83.7	80	14.8	-12.836	-6.784	14
42.11	107.3	10.4	11.8	66.1	60.2	13.1	-14.688	-7.76	23
40.76	108.35	10.8	12.5	63	56.2	11.9	-15.632	-8.26	25
38.89	110.02	12.5	14.6	66.4	57.7	11.9	-14.266	-7.527	31
37.99	110.99	13	15.6	61.8	52.1	11.8	-14.83	-7.841	17
36.79	112.13	13.8	16.2	64.2	55	12.4	-14.797	-7.813	28
35.55	113.05	15.2	16.8	58.2	52.6	12.5	-14.701	-7.772	17
34.48	113.7	17.2	18.6	62.3	56.7	14	-14.249	-7.518	31
33.47	114.35	17	19.4	67.3	57.7	15.5	-14.637	-7.583	29
