%δ18OVSMOW published	17O-excess VSMOW published	17O-excess VSMOW-SLAP normalized
-51.017	0.0515	0.045262229
-50.734	0.033	0.026478813
-50.4015	0.035	0.028144821
-49.645	0.0325	0.025893528
-49.1135	0.042	0.035326029
-48.9825	0.049	0.042753558
-49.0235	0.047	0.040855019
-47.368	0.0495	0.043833138
-47.1525	0.046	0.039801753
-44.945	0.0455	0.039660556
-44.67	0.0585	0.053226274
-44.4295	0.035	0.028736906
-43.164	0.0405	0.035069041
-43.3185	0.0485	0.042581783
-41.723	0.0575	0.052099835
-37.4875	0.054	0.048913638
-39.573	0.0555	0.050555544
-38.8425	0.032	0.026378488
-41.166	0.034	0.028930167
-36.8805	0.05	0.044565118
-39.455	0.044	0.0387283
-34.9575	0.0535	0.048810724
-36.091	0.033	0.027956812
-31.024	0.0295	0.025053473
-34.3225	0.05	0.044857678
-32.005	0.0565	0.052475725
-30.684	0.0425	0.038204557
-28.2495	0.0405	0.036723413
-30.422	0.0445	0.040404954
-8.369	0.031735601	0.030572354
-8.553	0.03328809	0.032106872
-9.57	0.035605811	0.034279647
-8.817	0.044310837	0.04316937
-6.342	0.045755915	0.045025568
-6.416	0.047955264	0.04722915
-17.544	0.051395889	0.048973469
-10.117	0.075997865	0.074885875
-10.849	0.068407602	0.067124108
-58.009	0.001490478	-0.005769468
-9.415	0.017302913	0.01586514
-0.739	0.02126815	0.02129783
-15.913	0.022052248	0.019650555
-12.655	0.023075124	0.021173597
-0.06	0.023680918	0.023845879
-12.681	0.023891765	0.021992328
-10.337	0.026463218	0.024947738
-10.936	0.040424353	0.038918814
-9.951	0.029683494	0.0282529
-9.529	0.039880163	0.038592321
4.158	-0.016238557	-0.015623733
-5.016	0.01663488	0.015906738
-5.626	0.048626462	0.048035044
-6.847	0.053268986	0.052512008
-6.857	0.053567497	0.052811109
-8.969	0.058978358	0.057921752
-3.272	0.019986554	0.019574906
-4.486	0.020168791	0.019555011
-2.513	0.021680442	0.021409724
-4.717	0.03544272	0.034903872
-6.728	0.015096804	0.014075527
-9.239	0.015954799	0.014534999
-9.829	0.017901659	0.016402656
-7.911	0.020924223	0.019754288
-6.04	0.021748645	0.020889451
-7.843	0.022893328	0.02174901
-6.476	0.023651271	0.022734744
-7.561	0.02746771	0.026402994
-7.078	0.031566067	0.030610182
-12.091	0.034594508	0.032865841
-6.323	0.035659983	0.03485773
-9.511	0.040335047	0.039053447
-9.665	0.047055019	0.045799011
-5.925	0.051948605	0.051332659
-7.243	0.05306629	0.052243426
-6.51	0.054764874	0.054073992
-8.094	0.056066509	0.055128439
-4.206	0.03	0.029549506
-5.699	0.051	0.050699956
-25.927	0.04	0.036177505
-20.329	0.039	0.03623667
-5.397	-0.012	-0.012780751
0.839	-0.014897835	-0.014861927
-0.069	-0.011567895	-0.011665541
0.459	-0.011323074	-0.011327063
-0.07	-0.010039811	-0.010126313
-0.033	-0.009576077	-0.009652723
0.84	-0.008428411	-0.008344439
1.044	-0.008091828	-0.007969654
0.134	-0.007749244	-0.007783351
0.807	-0.007011919	-0.006923233
0.051	-0.006927513	-0.006969958
-0.059	-0.006847803	-0.006908757
0.545	-0.006721087	-0.006676007
-0.289	-0.006398588	-0.00649609
2.172	-0.006221665	-0.005887066
0.932	-0.005984885	-0.005866729
-0.415	-0.005859836	-0.005975158
-0.067	-0.005623655	-0.005676931
0.092	-0.00557469	-0.005599994
-0.236	-0.005385745	-0.005466563
1.142	-0.004810693	-0.004647057
0.596	-0.0046423	-0.004572931
0.529	-0.004275954	-0.004215562
0.71	-0.003815784	-0.003720391
0.117	-0.003774068	-0.003781693
-0.083	-0.003175286	-0.003213206
-0.102	-0.003142878	-0.003183854
0.343	-0.003088788	-0.003052022
-0.057	-0.001903654	-0.001927645
0.628	-0.001534364	-0.001436401
1.217	-0.001390662	-0.00118856
1.252	-0.000860228	-0.000648059
1.045	-0.000623651	-0.000446025
2.416	0.001077109	0.001508896
-0.095	0.001161182	0.001153296
-0.315	0.001332587	0.001287846
-0.126	0.002530144	0.002527019
-0.13	0.003642349	0.003646769
-0.062	0.003736594	0.003753506
-53.904	0.012	0.005133668
-54.532	0.025	0.018182762
-65.812	-0.01	-0.017850105
-60.928	-0.006	-0.013519645
-61.973	-0.007	-0.01459557
-64.984	-0.015	-0.022841123
-60.203	-0.013	-0.020524557
-55.352	0.023	0.016103308
-61.035	-0.014	-0.021588
-55.969	0.011	0.003964253
-66.368	-0.027	-0.035011684
-62.745	0.001	-0.006583244
-57.887	-0.007	-0.014316019
-53.519	0.001	-0.005919118
-59.822	-0.013	-0.020498541
-50.019	0.029	0.022590092
-32.99	0.023	0.018349345
-24.91	0.029	0.025411149
-27.86	0.037	0.033087234
-24.33	0.04	0.036570899
-31.98	0.042	0.037613449
-35.53	0.043	0.038203944
-34.284	0.038	0.033310463
-34.423	0.046	0.041354709
-34.561	0.054	0.04939888
-32.834	0.051	0.046579327
-28.157	0.041	0.037079764
-27.623	0.038	0.03412533
-28.211	0.03	0.025990398
-31.4	0.06	0.055819608
-35.149	0.068	0.063436686
-35.583	0.052	0.047266213
-35.514	0.047	0.042236433
-34.954	0.062	0.057413832
-31.618	0.055	0.050755507
-27.483	0.038	0.034143309
-26.699	0.038	0.034244424
-27.731	0.042	0.038141705
-28.968	0.057	0.053097631
-30.83	0.035	0.030701078
-32.93	0.049	0.044552848
-34.953	0.036	0.03121777
-36.914	0.054	0.049130833
-38.798	0.068	0.063029075
-38.793	0.073	0.068067427
-38.019	0.064	0.059083989
-36.505	0.05	0.045146496
-32.727	0.048	0.043569463
-28.772	0.045	0.041032031
-26.833	0.063	0.059414845
-26.876	0.041	0.037244097
-27.093	0.048	0.044268673
