%TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Preciptition,Rn,U,WD,T_ERA5,RH_ERA5,P_ERA5,Preciptition_ERA5,Rn_ERA5,U_ERA5,WD_ERA5
201412250000,201412250059,930.779,-56.6641,-9999,-397.07,-9999,-31.2339,-9999,-9999,-9999,-9999,-9999,-9999,-31.6086,0.702917,64.92169,0,28.09974,4.368751,208.017
201412250100,201412250159,925.15,-55.3917,-9999,-393.165,-9999,-29.2665,-9999,-9999,-9999,-9999,-9999,-9999,-32.32787,0.7039459,64.90145,0,33.78241,4.670764,207.5372
201412250200,201412250259,912.833,-55.8212,-9999,-399.004,-9999,-28.054,-9999,-9999,-9999,-9999,-9999,-9999,-31.67974,0.7020209,64.8865,0,43.86237,4.867945,206.4721
201412250300,201412250359,908.066,-57.6479,-9999,-400.32,-9999,-26.9528,-9999,-9999,-9999,-9999,-9999,-9999,-28.64931,0.7026163,64.88386,0,49.29016,4.457048,208.1383
201412250400,201412250459,904.383,-57.6261,-9999,-395.649,-9999,-26.1778,-9999,-9999,-9999,-9999,-9999,-9999,-28.32366,0.7258202,64.87066,0,42.11209,5.445885,203.1306
201412250500,201412250559,898.535,-57.2765,-9999,-401.816,-9999,-25.4919,-9999,-9999,-9999,-9999,-9999,-9999,-26.64325,0.7247711,64.86274,0,42.7284,4.7962,205.4211
201412250600,201412250659,892.943,-56.98,-9999,-401.363,-9999,-25.0669,-9999,-9999,-9999,-9999,-9999,-9999,-26.46462,0.7307394,64.84779,0,41.41572,5.165017,203.2832
201412250700,201412250759,902.812,-61.1831,-9999,-438.632,-9999,-24.7277,-9999,-9999,-9999,-9999,-9999,-9999,-27.92213,0.7308921,64.84427,0,30.0344,5.275381,202.8587
201412250800,201412250859,926.35,-62.5737,-9999,-459.066,-9999,-24.6402,-9999,-9999,-9999,-9999,-9999,-9999,-27.88736,0.7352087,64.83459,0,32.05698,5.447212,200.5955
201412250900,201412250959,940.172,-63.2774,-9999,-461.288,-9999,-24.7277,-9999,-9999,-9999,-9999,-9999,-9999,-29.88235,0.7440975,64.81259,0,15.38482,5.702548,198.1495
201412251000,201412251059,884.226,-65.6607,-9999,-481.983,-9999,-25.3277,-9999,-9999,-9999,-9999,-9999,-9999,-27.50322,0.7155926,64.81523,0,10.5502,6.239899,193.4618
201412251100,201412251159,844.988,-66.1322,-9999,-477.236,-9999,-26.0358,-9999,-9999,-9999,-9999,-9999,-9999,-27.58068,0.7149493,64.82315,0,3.41416,6.343029,190.868
201412251200,201412251259,794.418,-65.2465,-9999,-479.931,-9999,-27.0608,-9999,-9999,-9999,-9999,-9999,-9999,-27.96165,0.7136703,64.80028,0,-4.782205,6.348367,189.3924
201412251300,201412251359,679.74,-63.1217,-9999,-471.775,-9999,-28.2607,-9999,-9999,-9999,-9999,-9999,-9999,-29.14095,0.7168108,64.79675,0,-20.07053,6.247429,190.0715
201412251400,201412251459,592.441,-65.5219,-9999,-484.316,-9999,-29.9732,-9999,-9999,-9999,-9999,-9999,-9999,-29.9851,0.7433158,64.773,0,-29.11197,6.147003,192.0119
201412251500,201412251559,531.891,-65.9989,-9999,-470.59,-9999,-31.5808,-9999,-9999,-9999,-9999,-9999,-9999,-33.05347,0.7509102,64.73781,0,-34.83005,6.03395,193.5746
201412251600,201412251659,478.656,-64.0745,-9999,-473.959,-9999,-32.8808,-9999,-9999,-9999,-9999,-9999,-9999,-33.83755,0.7588376,64.71494,0,-38.4837,5.91982,194.9899
201412251700,201412251759,449.971,-65.2919,-9999,-487.277,-9999,-33.8754,-9999,-9999,-9999,-9999,-9999,-9999,-34.09523,0.763656,64.6903,0,-40.42776,5.810348,195.4359
201412251800,201412251859,438.827,-66.7554,-9999,-476.44,-9999,-33.9754,-9999,-9999,-9999,-9999,-9999,-9999,-34.45249,0.7621347,64.68414,0,-37.57646,5.716644,194.6808
201412251900,201412251959,502.098,-67.6745,-9999,-481.77,-9999,-33.6715,-9999,-9999,-9999,-9999,-9999,-9999,-33.76642,0.7571434,64.64631,0,-31.68809,5.700228,192.7618
201412252000,201412252059,564.109,-68.9365,-9999,-497.858,-9999,-32.184,-9999,-9999,-9999,-9999,-9999,-9999,-33.50084,0.707773,64.67446,0,-23.87226,5.670115,190.3017
201412252100,201412252159,650.125,-61.8596,-9999,-496.282,-9999,-30.8969,-9999,-9999,-9999,-9999,-9999,-9999,-32.42588,0.713881,64.62431,0,-14.33906,5.664728,187.4192
201412252200,201412252259,738.615,-53.8577,-9999,-495.078,-9999,-30.1969,-9999,-9999,-9999,-9999,-9999,-9999,-31.20865,0.7117604,64.66742,0,-4.046163,5.759708,178.5592
201412252300,201412252359,666.636,-64.3856,-9999,-475.999,-9999,-29.6464,-9999,-9999,-9999,-9999,-9999,-9999,-30.4467,0.7142749,64.64983,0,6.824858,5.631158,175.9799
201412260000,201412260059,654.034,-63.9635,-9999,-463.609,-9999,-29.5339,-9999,-9999,-9999,-9999,-9999,-9999,-30.03411,0.7167199,64.64542,0,17.20352,5.517923,174.1903
201412260100,201412260159,783.823,-65.3107,-9999,-461.429,-9999,-29.2242,-9999,-9999,-9999,-9999,-9999,-9999,-29.60254,0.6999481,64.62959,0,27.4655,5.985405,168.685
201412260200,201412260259,791.549,-65.8433,-9999,-473.899,-9999,-28.3367,-9999,-9999,-9999,-9999,-9999,-9999,-29.25635,0.6966,64.62783,0,34.06653,6.016571,165.4316
201412260300,201412260359,801.459,-66.3343,-9999,-487.571,-9999,-27.5096,-9999,-9999,-9999,-9999,-9999,-9999,-28.07705,0.6933798,64.63311,0,39.53314,6.289041,161.5962
201412260400,201412260459,774.113,-66.6893,-9999,-480.45,-9999,-26.8596,-9999,-9999,-9999,-9999,-9999,-9999,-27.54906,0.693729,64.63223,0,42.69828,6.339584,157.1152
201412260500,201412260559,806.335,-66.0308,-9999,-477.622,-9999,-26.2287,-9999,-9999,-9999,-9999,-9999,-9999,-27.32458,0.6934053,64.65598,0,44.40191,6.213926,152.8655
201412260600,201412260659,862.097,-65.171,-9999,-480.936,-9999,-25.6537,-9999,-9999,-9999,-9999,-9999,-9999,-27.16809,0.6994506,64.67798,0,41.17339,5.983233,148.7587
