%TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Preciptition,Rn,U,WD,T_ERA5,RH_ERA5,P_ERA5,Preciptition_ERA5,Rn_ERA5,U_ERA5,WD_ERA5
201312162200,201312162259,551.5702683,-57.055,0.487903679,-410.85,1.767766953,247.353,0.632151,68.1174,0,-49.0362,5.12996,-9999,-3.723338,0.9136362,98.28985,0,-52.12248,1.895538,97.27682
201312162300,201312162359,465.3911181,-56.605,0.770746391,-414.85,7.848885271,246.356,0.63601,68.0849,0,-49.7769,5.33752,-9999,-3.573856,0.9266697,98.26978,0,-54.14093,1.616438,84.22468
201312170600,201312170659,469.8161196,-57.17,-9999,-427.2,-9999,244,0.604795,67.8865,0,10.9411,6.92144,-9999,-0.5919915,0.8746278,98.19565,0,-13.59086,1.847236,74.44275
201312170700,201312170759,534.4792894,-56.73,0.438406204,-424.55,0.070710678,244.361,0.609528,67.874,0,22.9609,7.06866,-9999,-0.1030592,0.823415,98.20612,0,6.795961,2.159501,71.61529
201312170800,201312170859,587.5186617,-57.1,-9999,-421.2,-9999,244.842,0.619336,67.8553,0,33.7279,6.98442,-9999,-0.2369706,0.8147322,98.22879,0,15.51421,2.732456,59.3308
201312170900,201312170959,691.1921209,-55.55,1.725340546,-409.4,0.424264069,245.519,0.630662,67.8429,0,42.1714,6.74118,-9999,-0.2322993,0.7991831,98.21309,0,31.422,3.053056,48.6638
201312171000,201312171059,795.0161282,-55.26,-9999,-411.6,-9999,246.295,0.642298,67.8401,0,48.1991,6.47518,-9999,0.04798035,0.7078742,98.15291,0.01022849,55.53572,2.777187,50.95604
201312171100,201312171159,846.374078,-56.735,0.176776695,-408.25,4.313351365,247.076,0.655867,67.8394,0,50.9262,6.19804,-9999,0.02150949,0.7265574,98.14418,0.01136498,49.07188,3.294379,62.6736
201312171200,201312171259,910.7400535,-55.515,0.403050865,-408.45,0.777817459,247.849,0.66928,67.8452,0,49.182,5.89484,-9999,0.1834489,0.7304839,98.11714,0.01932047,57.06815,4.139989,73.79651
201312171300,201312171359,966.098066,-54.905,0.643467171,-405.4,6.222539674,248.582,0.676608,67.8542,0,43.7137,5.61093,-9999,0.1351785,0.7514854,98.11104,0.01250148,53.02559,5.235511,82.5251
