%TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Precipitation,Rn,U,WD
201110010000,201110012359,7484.03,-20.85,0.72,-158.84,5.23,3.93,0.7904,99.364,-9999,-9999,-9999,-9999
201110020000,201110022359,6373.94,-21.7,0.82,-163.91,5.56,4.09,0.6641,100.177,-9999,-9999,-9999,-9999
201110030000,201110032359,6386.22,-22.34,1.4,-164.38,10.12,2.28,0.7488,100.184,-9999,-9999,-9999,-9999
201110040000,201110042359,7416.12,-23.24,1.71,-173.39,11.36,1.53,0.9375,99.611,-9999,-9999,-9999,-9999
201110050000,201110052359,6016.34,-21.92,1.04,-161.29,7.38,2.51,0.6935,100.78,-9999,-9999,-9999,-9999
201110060000,201110062359,4237.34,-26.94,1.63,-193.51,11.32,1.34,0.4976,100.94,-9999,-9999,-9999,-9999
201110070000,201110072359,6174.87,-26.29,2.23,-192.6,13.89,1.27,0.7669,99.445,-9999,-9999,-9999,-9999
201110080000,201110082359,6442.69,-22.15,0.82,-162.89,7.18,1.47,0.7912,99.01,-9999,-9999,-9999,-9999
201110090000,201110092359,4572.99,-26.09,2.11,-188.45,14.54,0.75,0.548,99.317,-9999,-9999,-9999,-9999
201110100000,201110102359,4544.49,-24.31,1.39,-171.65,11.06,1.49,0.5215,100.259,-9999,-9999,-9999,-9999
201110110000,201110112359,6289.82,-20.66,2.62,-149.39,18.37,3.02,0.7115,100.763,-9999,-9999,-9999,-9999
201110120000,201110122359,6563.97,-21.27,1.91,-157.21,14.1,1.84,0.8026,99.897,-9999,-9999,-9999,-9999
201110130000,201110132359,3889.2,-26.64,1.26,-190.11,6.21,-0.29,0.4931,99.161,-9999,-9999,-9999,-9999
201110140000,201110142359,2342.53,-27.7,1.01,-193.87,6.18,-1.05,0.31,100.113,-9999,-9999,-9999,-9999
201110150000,201110152359,2198.58,-30.18,1.76,-214.96,13.43,-1.38,0.3002,101.1,-9999,-9999,-9999,-9999
201110160000,201110162359,2475.58,-26.6,2.37,-185.15,16.65,-1.16,0.3207,101.012,-9999,-9999,-9999,-9999
201110170000,201110172359,3367.05,-25.95,1.88,-189.44,13.92,0.83,0.4143,101.506,-9999,-9999,-9999,-9999
201110180000,201110182359,4925.35,-22.74,1.3,-165.99,11.06,1.59,0.5813,100.734,-9999,-9999,-9999,-9999
201110190000,201110192359,8310.97,-25.89,3.62,-194.41,26.77,4.48,0.89,99.396,-9999,-9999,-9999,-9999
201110200000,201110202359,6833.07,-23.85,1.89,-180.08,15.47,2.7,0.7871,100.028,-9999,-9999,-9999,-9999
201110210000,201110212359,3607.28,-24.91,2.71,-178.26,18.15,-0.51,0.4782,100.359,-9999,-9999,-9999,-9999
201110220000,201110222359,2316.33,-29.18,2.11,-206.08,16.52,-2.3,0.339,100.326,-9999,-9999,-9999,-9999
201110230000,201110232359,3138.58,-25.99,1.98,-182.97,15.86,-2.05,0.4456,100.757,-9999,-9999,-9999,-9999
201110240000,201110242359,5636.06,-22.7,1.09,-166.66,5.98,-1.01,0.8404,100.844,-9999,-9999,-9999,-9999
201110250000,201110252359,4659.77,-23.1,1.7,-169.05,13.12,-2.68,0.7754,100.964,-9999,-9999,-9999,-9999
201110260000,201110262359,2517.51,-28.8,1.23,-207.09,9.09,-4,0.4216,100.466,-9999,-9999,-9999,-9999
201110270000,201110272359,2908.81,-27.02,1.39,-193.23,11,-3.08,0.4502,99.801,-9999,-9999,-9999,-9999
201110280000,201110282359,3080.61,-27.81,1.06,-202.73,8.9,-3.1,0.4804,99.857,-9999,-9999,-9999,-9999
201110290000,201110292359,3746.74,-26.5,1.04,-195.31,8.32,-2.06,0.5597,99.993,-9999,-9999,-9999,-9999
201110300000,201110302359,4057.7,-27.62,2.96,-204.13,22.45,-1.25,0.5851,100.346,-9999,-9999,-9999,-9999
201110310000,201110312359,4031.61,-25.95,1.86,-191.48,14.94,-1.94,0.6156,100.577,-9999,-9999,-9999,-9999
201111010000,201111012359,4422.82,-23.67,0.72,-172.52,5.59,-1.57,0.6602,100.374,-9999,-9999,-9999,-9999
201111020000,201111022359,3521.29,-25.72,0.92,-185.52,7.74,-4.33,0.6203,100.647,-9999,-9999,-9999,-9999
201111030000,201111032359,3420.1,-25.74,0.92,-185.41,7.17,-4.07,0.5887,100.235,-9999,-9999,-9999,-9999
201111040000,201111042359,2359.8,-29.83,1.62,-211.31,11.59,-6.02,0.4384,98.938,-9999,-9999,-9999,-9999
201111050000,201111052359,2053.9,-30.72,1.28,-214.95,9.26,-8.89,0.4661,98.012,-9999,-9999,-9999,-9999
201111060000,201111062359,2406.45,-30.64,1.16,-219.09,7.87,-6.03,0.4602,98.238,-9999,-9999,-9999,-9999
201111070000,201111072359,2567.61,-29.12,2.19,-208.71,21.14,-6.09,0.4987,98.759,-9999,-9999,-9999,-9999
201111080000,201111082359,1852.77,-26.85,1.27,-184.1,11.25,-7.56,0.3934,98.01,-9999,-9999,-9999,-9999
201111090000,201111092359,2004.44,-29.25,1.85,-208.69,15.39,-6.91,0.4097,99.469,-9999,-9999,-9999,-9999
201111100000,201111102359,2343.48,-27.26,1.04,-192.44,8.32,-5.59,0.4442,99.551,-9999,-9999,-9999,-9999
201111110000,201111112359,2231.55,-30.48,1.61,-221.92,14.14,-5.75,0.4293,100.41,-9999,-9999,-9999,-9999
201111120000,201111122359,6240.41,-9999,-9999,-9999,-9999,2.45,0.6887,100.442,-9999,-9999,-9999,-9999
201111130000,201111132359,7944.47,-9999,-9999,-9999,-9999,2.61,0.9167,100.151,-9999,-9999,-9999,-9999
201111140000,201111142359,6567.92,-9999,-9999,-9999,-9999,-0.81,0.9448,100.608,-9999,-9999,-9999,-9999
201111150000,201111152359,4400.21,-9999,-9999,-9999,-9999,-4.57,0.7907,100.223,-9999,-9999,-9999,-9999
201111160000,201111162359,5173.17,-9999,-9999,-9999,-9999,-2.48,0.8053,99.846,-9999,-9999,-9999,-9999
201111170000,201111172359,4953.73,-9999,-9999,-9999,-9999,-2.42,0.7665,99.64,-9999,-9999,-9999,-9999
201111180000,201111182359,6067.04,-9999,-9999,-9999,-9999,-0.14,0.8113,99.26,-9999,-9999,-9999,-9999
201111190000,201111192359,6194.61,-9999,-9999,-9999,-9999,5.47,0.5525,96.701,-9999,-9999,-9999,-9999
201111200000,201111202359,6368.51,-9999,-9999,-9999,-9999,0.82,0.7858,97.604,-9999,-9999,-9999,-9999
201111210000,201111212359,4243.29,-9999,-9999,-9999,-9999,-3.31,0.6708,98.393,-9999,-9999,-9999,-9999
201111220000,201111222359,3224.81,-9999,-9999,-9999,-9999,-6.94,0.6478,98.454,-9999,-9999,-9999,-9999
201111230000,201111232359,4594.66,-9999,-9999,-9999,-9999,-4.94,0.8435,98.942,-9999,-9999,-9999,-9999
201111240000,201111242359,2986.49,-9999,-9999,-9999,-9999,-6.83,0.5857,98.937,-9999,-9999,-9999,-9999
201111250000,201111252359,2315.53,-9999,-9999,-9999,-9999,-9.34,0.5267,99.633,-9999,-9999,-9999,-9999
201111260000,201111262359,2206.37,-9999,-9999,-9999,-9999,-10.49,0.5412,99.742,-9999,-9999,-9999,-9999
201111270000,201111272359,1920.62,-9999,-9999,-9999,-9999,-11.02,0.4721,99.318,-9999,-9999,-9999,-9999
201111280000,201111282359,1865.51,-9999,-9999,-9999,-9999,-9.25,0.3942,99.651,-9999,-9999,-9999,-9999
201111290000,201111292359,1873.51,-9999,-9999,-9999,-9999,-8.96,0.387,99.69,-9999,-9999,-9999,-9999
201111300000,201111302359,4201.25,-9999,-9999,-9999,-9999,-4.61,0.7437,99.692,-9999,-9999,-9999,-9999
201112010000,201112012359,5196.49,-9999,-9999,-9999,-9999,-1.61,0.7385,98.647,-9999,-9999,-9999,-9999
201112020000,201112022359,5335.24,-9999,-9999,-9999,-9999,-2.27,0.8238,99.506,-9999,-9999,-9999,-9999
201112030000,201112032359,4525.15,-9999,-9999,-9999,-9999,-4.68,0.827,100.535,-9999,-9999,-9999,-9999
201112040000,201112042359,3302.41,-9999,-9999,-9999,-9999,-6.34,0.6363,100.698,-9999,-9999,-9999,-9999
201112050000,201112052359,5148.97,-9999,-9999,-9999,-9999,-3.95,0.8998,99.82,-9999,-9999,-9999,-9999
201112060000,201112062359,4379.06,-9999,-9999,-9999,-9999,-5.57,0.8215,99.903,-9999,-9999,-9999,-9999
201112070000,201112072359,2006.59,-9999,-9999,-9999,-9999,-10.5,0.4864,100.86,-9999,-9999,-9999,-9999
201112080000,201112082359,2009.61,-9999,-9999,-9999,-9999,-10.33,0.4821,101.677,-9999,-9999,-9999,-9999
201112090000,201112092359,3842.73,-9999,-9999,-9999,-9999,-1.9,0.5254,98.408,-9999,-9999,-9999,-9999
201112100000,201112102359,4674.86,-9999,-9999,-9999,-9999,-1.06,0.6511,98.439,-9999,-9999,-9999,-9999
201112110000,201112112359,3683.2,-9999,-9999,-9999,-9999,-6.97,0.727,99.073,-9999,-9999,-9999,-9999
201112120000,201112122359,2355.55,-9999,-9999,-9999,-9999,-9.17,0.5246,98.409,-9999,-9999,-9999,-9999
201112130000,201112132359,2784.52,-9999,-9999,-9999,-9999,-5.69,0.4918,99.257,-9999,-9999,-9999,-9999
201112140000,201112142359,3010.36,-9999,-9999,-9999,-9999,-5.83,0.5521,99.932,-9999,-9999,-9999,-9999
201112150000,201112152359,3063.57,-9999,-9999,-9999,-9999,-8.15,0.6649,100.245,-9999,-9999,-9999,-9999
201112160000,201112162359,4316.49,-9999,-9999,-9999,-9999,-3.11,0.695,100.532,-9999,-9999,-9999,-9999
201112170000,201112172359,7069.88,-9999,-9999,-9999,-9999,1.51,0.85,98.437,-9999,-9999,-9999,-9999
201112180000,201112182359,3799.83,-9999,-9999,-9999,-9999,-6.52,0.7574,99.182,-9999,-9999,-9999,-9999
201112190000,201112192359,3586.18,-9999,-9999,-9999,-9999,-7.75,0.7933,99.988,-9999,-9999,-9999,-9999
201112200000,201112202359,3051.23,-9999,-9999,-9999,-9999,-8.43,0.6903,99.918,-9999,-9999,-9999,-9999
201112210000,201112212359,2150.04,-9999,-9999,-9999,-9999,-9.16,0.4687,99.196,-9999,-9999,-9999,-9999
201112220000,201112222359,3314.2,-9999,-9999,-9999,-9999,-7.41,0.6629,99.292,-9999,-9999,-9999,-9999
201112230000,201112232359,4041.28,-9999,-9999,-9999,-9999,-5.8,0.7659,98.697,-9999,-9999,-9999,-9999
201112240000,201112242359,2686.67,-9999,-9999,-9999,-9999,-9.5,0.6294,98.408,-9999,-9999,-9999,-9999
201112250000,201112252359,2054.25,-9999,-9999,-9999,-9999,-11.64,0.535,98.996,-9999,-9999,-9999,-9999
201112260000,201112262359,4213.44,-9999,-9999,-9999,-9999,-5.95,0.8112,99.221,-9999,-9999,-9999,-9999
201112270000,201112272359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201112280000,201112282359,5089.69,-9999,-9999,-9999,-9999,-2.76,0.806,98.974,-9999,-9999,-9999,-9999
201112290000,201112292359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201112300000,201112302359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201112310000,201112312359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201201010000,201201012359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201201020000,201201022359,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
201201030000,201201032359,5958.46,-9999,-9999,-9999,-9999,-2.63,0.9362,97.273,-9999,-9999,-9999,-9999
201201040000,201201042359,3951.25,-9999,-9999,-9999,-9999,-6.24,0.7224,99.205,-9999,-9999,-9999,-9999
201201050000,201201052359,4181.07,-9999,-9999,-9999,-9999,-6.62,0.7638,98.68,-9999,-9999,-9999,-9999
201201060000,201201062359,4041.76,-9999,-9999,-9999,-9999,-5.01,0.715,99.488,-9999,-9999,-9999,-9999
201201070000,201201072359,5152.84,-9999,-9999,-9999,-9999,-1.95,0.7401,97.973,-9999,-9999,-9999,-9999
201201080000,201201082359,3072.11,-9999,-9999,-9999,-9999,-8.39,0.6608,99.335,-9999,-9999,-9999,-9999
201201090000,201201092359,2150.02,-9999,-9999,-9999,-9999,-13.14,0.6333,100.034,-9999,-9999,-9999,-9999
201201100000,201201102359,3783.96,-9999,-9999,-9999,-9999,-6.56,0.7686,100.086,-9999,-9999,-9999,-9999
201201110000,201201112359,4679.35,-9999,-9999,-9999,-9999,-2.19,0.7074,100.049,-9999,-9999,-9999,-9999
201201120000,201201122359,6083.37,-9999,-9999,-9999,-9999,0.62,0.7621,98.229,-9999,-9999,-9999,-9999
201201130000,201201132359,3874.83,-9999,-9999,-9999,-9999,-5.74,0.7124,99.352,-9999,-9999,-9999,-9999
201201140000,201201142359,4446.48,-9999,-9999,-9999,-9999,-3.4,0.6704,99.387,-9999,-9999,-9999,-9999
201201150000,201201152359,6061.07,-9999,-9999,-9999,-9999,-1.15,0.8512,97.467,-9999,-9999,-9999,-9999
201201160000,201201162359,4566.74,-9999,-9999,-9999,-9999,-5.16,0.842,97.86,-9999,-9999,-9999,-9999
201201170000,201201172359,3924.68,-9999,-9999,-9999,-9999,-6.71,0.7975,97.724,-9999,-9999,-9999,-9999
201201180000,201201182359,3444.86,-9999,-9999,-9999,-9999,-7.5,0.7352,99.635,-9999,-9999,-9999,-9999
201201190000,201201192359,2110.13,-9999,-9999,-9999,-9999,-12.19,0.5695,99.36,-9999,-9999,-9999,-9999
201201200000,201201202359,4202.82,-9999,-9999,-9999,-9999,-5.6,0.8083,100.561,-9999,-9999,-9999,-9999
201201210000,201201212359,1924.51,-9999,-9999,-9999,-9999,-10.39,0.4558,101.705,-9999,-9999,-9999,-9999
201201220000,201201222359,3078.01,-9999,-9999,-9999,-9999,-5.43,0.4971,100.475,-9999,-9999,-9999,-9999
201201230000,201201232359,4772.77,-9999,-9999,-9999,-9999,-4.47,0.8442,99.023,-9999,-9999,-9999,-9999
201201240000,201201242359,3472.85,-9999,-9999,-9999,-9999,-4.09,0.5783,99.795,-9999,-9999,-9999,-9999
201201250000,201201252359,2701.47,-9999,-9999,-9999,-9999,-6.72,0.5275,100.663,-9999,-9999,-9999,-9999
201201260000,201201262359,5682.18,-9999,-9999,-9999,-9999,-0.53,0.7537,99.034,-9999,-9999,-9999,-9999
201201270000,201201272359,5949.26,-9999,-9999,-9999,-9999,1.37,0.7137,98.746,-9999,-9999,-9999,-9999
201201280000,201201282359,5016.45,-9999,-9999,-9999,-9999,-3.15,0.8158,99.775,-9999,-9999,-9999,-9999
201201290000,201201292359,2660.85,-9999,-9999,-9999,-9999,-8.36,0.5766,99.934,-9999,-9999,-9999,-9999
201201300000,201201302359,2994.34,-9999,-9999,-9999,-9999,-6.52,0.5629,98.979,-9999,-9999,-9999,-9999
201201310000,201201312359,5129.7,-9999,-9999,-9999,-9999,-2.93,0.8183,98.307,-9999,-9999,-9999,-9999
201202010000,201202012359,4761.33,-9999,-9999,-9999,-9999,-2.42,0.7284,99.532,-9999,-9999,-9999,-9999
201202020000,201202022359,4324.74,-9999,-9999,-9999,-9999,2.24,0.4656,98.799,-9999,-9999,-9999,-9999
201202030000,201202032359,5461.35,-9999,-9999,-9999,-9999,-0.19,0.7494,98.894,-9999,-9999,-9999,-9999
201202040000,201202042359,4576.6,-9999,-9999,-9999,-9999,-4.58,0.8132,100.275,-9999,-9999,-9999,-9999
201202050000,201202052359,6021.77,-9999,-9999,-9999,-9999,-1.39,0.8328,98.417,-9999,-9999,-9999,-9999
201202060000,201202062359,5442.61,-9999,-9999,-9999,-9999,3.18,0.57,97.409,-9999,-9999,-9999,-9999
