%TIMESTAMP_START,TIMESTAMP_END,Q,Delta_18O,Delta_18O_std,Delta_D,Delta_D_std,T,RH,P,Precipitation,Rn,U,WD
201005240000,201005242359,2922.21,-37.987,,-285.304,,-9.6125,-9999,-9999,-9999,-9999,5.9375,222.45
201005250000,201005252359,2233.23,-39.2523,,-295.427,,-12.61,-9999,-9999,-9999,-9999,5.5,239.825
201005260000,201005262359,2331.37,-38.8135,,-291.59,,-13.39,-9999,-9999,-9999,-9999,5.5625,249.5
201005270000,201005272359,1785.2,-41.3822,,-306.995,,-17.4275,-9999,-9999,-9999,-9999,2.945,249.05
201005280000,201005282359,1579.56,-45.4367,,-333.772,,-20.5175,-9999,-9999,-9999,-9999,1.9175,227.225
201005290000,201005292359,1246.73,-49.0223,,-352.165,,-20.5025,-9999,-9999,-9999,-9999,2.2925,230.425
201005300000,201005302359,1417.66,-50.3094,,-354.475,,-19.345,-9999,-9999,-9999,-9999,3.18,210.15
201005310000,201005312359,2309.63,-40.6121,,-298.224,,-14.8375,-9999,-9999,-9999,-9999,5.96,234.15
201006010000,201006012359,3467.86,-34.2033,,-255.038,,-10.85,-9999,-9999,-9999,-9999,6.4625,262.425
201006020000,201006022359,3088.74,-35.3184,,-263.827,,-10.7925,-9999,-9999,-9999,-9999,6.8925,241.5
201006030000,201006032359,3327.8,-32.7849,,-242.499,,-10.12,-9999,-9999,-9999,-9999,6.855,249.05
201006040000,201006042359,2455.04,-38.7744,,-288.022,,-11.725,-9999,-9999,-9999,-9999,4.9925,223.55
201006050000,201006052359,3097.71,-37.3709,,-281.857,,-9.23,-9999,-9999,-9999,-9999,3.505,227.4
201006060000,201006062359,4589.84,-34.5645,,-260.265,,-5.7,-9999,-9999,-9999,-9999,3.9375,253.35
201006070000,201006072359,4542.09,-33.2318,,-251.893,,-6.115,-9999,-9999,-9999,-9999,2.5425,223.55
201006080000,201006082359,-9999,-9999,,-9999,,-6.9825,-9999,-9999,-9999,-9999,1.285,194.275
201006090000,201006092359,3215.91,-40.5482,,-295.476,,-9.045,-9999,-9999,-9999,-9999,2.5975,246.525
201006100000,201006102359,3185.75,-39.1333,,-288.949,,-9.3325,-9999,-9999,-9999,-9999,4.145,196.225
201006110000,201006112359,4285.75,-35.3822,,-262.746,,-5.5025,-9999,-9999,-9999,-9999,3.6875,238.6
201006120000,201006122359,4293.72,-36.1351,,-262.586,,-5.0375,-9999,-9999,-9999,-9999,3.86,243.175
201006130000,201006132359,4381.49,-36.7784,,-264.282,,-5.8,-9999,-9999,-9999,-9999,4.42,258.625
201006140000,201006142359,2936.5,-42.5034,,-306.172,,-10.4125,-9999,-9999,-9999,-9999,4.2125,192.475
201006150000,201006152359,3480.67,-40.603,,-291.794,,-8.32,-9999,-9999,-9999,-9999,3.66,309.325
201006160000,201006162359,2832.65,-41.9147,,-299,,-9.4525,-9999,-9999,-9999,-9999,3.0025,173.05
201006170000,201006172359,3969.5,-38.5899,,-282.7,,-6.2225,-9999,-9999,-9999,-9999,7.22,209.65
201006180000,201006182359,5010.08,-34.2298,,-246.156,,-3.94,-9999,-9999,-9999,-9999,9.045,222.425
201006190000,201006192359,4493.82,-41.3442,,-283.96,,-5.405,-9999,-9999,-9999,-9999,2.5025,233.775
201006200000,201006202359,3994.07,-37.7311,,-266.174,,-6.5725,-9999,-9999,-9999,-9999,7.21,197.925
201006210000,201006212359,2776.03,-38.924,,-289.611,,-10.3525,-9999,-9999,-9999,-9999,5.46,208.275
201006220000,201006222359,2968.16,-39.0221,,-289.032,,-9.0825,-9999,-9999,-9999,-9999,2.1825,198.325
201006230000,201006232359,2823.5,-39.124,,-289.533,,-10.255,-9999,-9999,-9999,-9999,2.9475,156.85
201006240000,201006242359,3223.43,-38.9826,,-286.022,,-8.7775,-9999,-9999,-9999,-9999,3.98,192.35
201006250000,201006252359,3296.56,-38.0137,,-278.864,,-8.1325,-9999,-9999,-9999,-9999,3.0575,214.225
201006260000,201006262359,2647.14,-39.8417,,-292.966,,-10.265,-9999,-9999,-9999,-9999,3.505,169.025
201006270000,201006272359,3920.6,-37.5143,,-273.765,,-8.3,-9999,-9999,-9999,-9999,3.9425,225.125
201006280000,201006282359,3877.32,-40.8307,,-287.461,,-5.225,-9999,-9999,-9999,-9999,1.055,207.85
201006290000,201006292359,2629.26,-46.1148,,-322.23,,-10.8025,-9999,-9999,-9999,-9999,3.6375,157.375
201006300000,201006302359,2496.68,-46.757,,-322.362,,-11.8275,-9999,-9999,-9999,-9999,2.2425,184.1
201007010000,201007012359,2578.7,-46.4188,,-321.202,,-11.13,-9999,-9999,-9999,-9999,2.49,176.2
201007020000,201007022359,2960.86,-43.566,,-316.699,,-9.86,-9999,-9999,-9999,-9999,4.2375,198.225
201007030000,201007032359,2791.58,-43.8108,,-318.423,,-10.6425,-9999,-9999,-9999,-9999,3.0675,196.75
201007040000,201007042359,2840.35,-43.6155,,-312.833,,-10.155,-9999,-9999,-9999,-9999,2.9775,192.25
201007050000,201007052359,3201.34,-41.8668,,-304.081,,-8.1575,-9999,-9999,-9999,-9999,3.065,189.575
201007060000,201007062359,2848.81,-42.5169,,-308.165,,-9.1275,-9999,-9999,-9999,-9999,2.825,186.55
201007070000,201007072359,2648.87,-42.1355,,-311.287,,-10.6425,-9999,-9999,-9999,-9999,3.6575,200.425
201007080000,201007082359,2794.28,-40.3684,,-304.399,,-9.845,-9999,-9999,-9999,-9999,3.825,205.7
201007090000,201007092359,2649.13,-40.7521,,-306.776,,-10.395,-9999,-9999,-9999,-9999,3.1325,214.2
201007100000,201007102359,2540.43,-42.0758,,-312.421,,-10.82,-9999,-9999,-9999,-9999,2.735,203.7
201007110000,201007112359,-9999,-9999,,-9999,,-11.1975,-9999,-9999,-9999,-9999,2.9625,216.95
201007120000,201007122359,3033.67,-39.2098,,-285.285,,-8.85,-9999,-9999,-9999,-9999,3.65,206.65
201007130000,201007132359,4002.76,-37.3053,,-274.334,,-6.4725,-9999,-9999,-9999,-9999,7.38,216.25
201007140000,201007142359,5374.92,-39.8517,,-289.001,,-4.8575,-9999,-9999,-9999,-9999,9.415,251.675
201007150000,201007152359,4667.63,-38.9404,,-283.979,,-7.095,-9999,-9999,-9999,-9999,6.0925,261.175
201007160000,201007162359,4557.78,-39.7522,,-280.412,,-7.16,-9999,-9999,-9999,-9999,5.9875,259.775
