%latitude(N)	longtitude(E)	d18-O(‰)	dD(‰)	RH(％)	SST	T air
38.48	118.39	-14.3303	-96.1568	51	NaN	16.2
38.47	118.43	-14.3303	-96.1568	50	NaN	16.3
38.47	118.46	-14.2282	-97.1137	51	NaN	16.2
38.47	118.49	-14.2282	-97.1137	52	NaN	16.2
38.47	118.52	-14.3266	-97.1137	53	NaN	16.1
38.47	118.58	-14.3303	-97.164	52	NaN	16
38.47	119.02	-14.2355	-97.2144	53	NaN	16
38.47	119.05	-14.4287	-97.164	53	NaN	16.1
38.47	119.08	-14.6256	-97.164	56	NaN	16
38.47	119.11	-14.6256	-97.164	55	NaN	16
38.47	119.14	-14.538	-97.3151	57	NaN	16
38.47	119.17	-14.4431	-97.3655	58	NaN	15.9
38.46	119.2	-14.4502	-97.4662	61	NaN	15.9
38.45	119.23	-14.1653	-96.6101	62	NaN	15.8
38.44	119.26	-14.077	-96.7611	63	NaN	15.8
38.44	119.29	-13.9852	-96.8619	64	NaN	15.9
38.43	119.33	-13.8998	-96.0561	67	NaN	15.9
38.43	119.36	-13.6171	-96.2575	68	NaN	15.8
38.43	119.39	-13.6264	-96.4086	69	NaN	15.8
38.42	119.42	-13.5341	-95.5021	69	NaN	15.8
38.42	119.45	-13.6355	-95.5525	64	NaN	15.9
38.42	119.48	-14.017	-95.3511	66	NaN	16
38.42	119.51	-14.0201	-95.4014	66	NaN	15.9
38.41	119.55	-14.1185	-95.4014	65	NaN	15.9
38.4	119.57	-14.0201	-95.4014	64	NaN	15.9
38.4	120	-14.1154	-95.3511	66	NaN	15.9
38.39	120.04	-14.1154	-95.3511	65	NaN	15.8
38.39	120.07	-14.017	-94.3439	65	NaN	15.8
38.39	120.11	-13.9155	-94.2935	64	NaN	15.9
38.39	120.13	-14.0108	-95.2503	65	NaN	15.9
38.38	120.16	-13.7279	-94.4446	69	NaN	15.8
38.38	120.2	-13.4416	-94.5957	67	NaN	15.8
38.38	120.23	-13.5401	-94.5957	69	NaN	15.8
38.37	120.26	-13.3491	-94.6964	70	NaN	15.7
38.37	120.29	-13.2537	-93.7395	71	NaN	15.7
38.36	120.32	-13.2566	-93.7899	70	NaN	15.7
38.36	120.36	-13.3521	-93.7395	71	NaN	15.6
38.36	120.39	-13.3579	-93.8403	70	NaN	15.6
38.35	120.42	-13.3521	-93.7395	69	NaN	15.6
38.35	120.46	-13.543	-93.6388	68	17.0227	15.6
38.34	120.49	-13.543	-93.6388	70	16.8557	15.4
38.33	120.51	-13.4476	-93.6892	72	16.5393	15.5
38.32	120.54	-13.1582	-93.7899	72	16.2431	15.4
38.31	120.57	-13.0626	-93.8403	71	16.1215	15.4
38.29	121.01	-13.2537	-93.7395	68	16.064	15.5
38.28	121.04	-13.3432	-93.5885	66	15.9678	15.6
38.27	121.07	-13.6233	-93.3367	63	15.8914	15.5
38.26	121.1	-13.7156	-93.2359	64	15.9259	15.6
38.25	121.13	-13.6109	-93.1352	59	15.9874	15.6
38.24	121.15	-13.6965	-93.941	60	16.0522	15.5
38.22	121.18	-13.4996	-93.941	61	16.1139	15.5
38.21	121.21	-13.2044	-93.941	62	16.1299	15.5
